source,target,weight,resources,references,sign_decision
STAT3,TGFB1,1.0,CytReg;ExTRI;GEREDB;IntAct;NTNU.Curated;SIGNOR;TRRUST,11114305;16474852;16606674;19797626;20939432;20962578;22378047;23437118;24315995;24504366;25740948,PMID
AHR,MYC,1.0,ExTRI;NTNU.Curated;TRRUST,11114727;16091746,default activation
RELA,MYC,1.0,ExTRI;NTNU.Curated;TRRUST,11114727;12783888;12894581;17018379;17673602;17944672;18184402;18566231;19469019;19766095;21790895;7869034;8289784;9596659,PMID
NR1I3,CYP3A4,1.0,ExTRI;GEREDB;NTNU.Curated,11114890;12130689;12167569;12514743;12664659;15698577;15990349;18677425;18805405;19686701;20580705;20642445;22363234,PMID
NR1I2,CYP2B6,1.0,ExTRI;TRRUST,11114890;11502872;12571232;14683479;14709618;18096673;19928584;20624854,default activation
MYB,MAT2A,1.0,ExTRI;GEREDB;NTNU.Curated;TRRUST,11115410;11427482;21406062,PMID
JUN,PLAU,1.0,ExTRI;NTNU.Curated;TRRUST,10454570;11115541;11774399;8123597;8570190,PMID
NFKB2,NFKB2,1.0,ExTRI,11115605;15755876;7969113;9268307,default activation
RBPJ,NFKB2,1.0,ExTRI;SIGNOR;TFactS,11115605;9528780,PMID
CEBPB,PLAAT1,1.0,ExTRI,11116053,default activation
CREB1,REN,1.0,DoRothEA-A;ExTRI;GEREDB;HTRI;NTNU.Curated,11116131;15857826;22628303;22645148;8408633;8645191;8914017;8999953;9247737,PMID
CREB1,PSEN1,1.0,ExTRI;NTNU.Curated;TRRUST,11116137,PMID
MAZ,PTH1R,1.0,ExTRI,11116210;14765995,default activation
SP1,PTH1R,1.0,ExTRI,11116210,default activation
NR2F1,VTN,1.0,ExTRI,11117523,default activation
TP53,SP1,-1.0,ExTRI;NTNU.Curated,11118296;11384995;15790310;15967108;18419600;18769160;19244234;19846904;21611785;7478550;9865734,PMID
SP1,TP53,1.0,ExTRI,11384995;14962081;15489892;15780936;18714402;19244234;19846904;22001409;7478550,default activation
