drug,rho_ic50,p_ic50,rho_auc,fdr_ic50
Mycophenolic acid,0.28035652542057526,2.4135004277462804e-14,0.17803099776557485,3.367127426026518e-14
N-acetyl cysteine,0.2105372326679962,1.4818301913118116e-08,-0.3874075199433716,1.8034188711284176e-08
N25720-51-A1,0.415865339695029,2.352712018656303e-31,0.2528727235104931,7.082901445638975e-31
N27922-53-1,0.4898773026869644,1.3114561695119472e-44,-0.15949669153883228,1.136595346910354e-43
N29087-69-1,0.4947508238611262,1.345053285398657e-45,-0.21820782967294725,1.32650082628971e-44
N30652-18-1,0.49554812111001306,9.23454983949452e-46,-0.03208412584268406,9.479444418547552e-45
NU7441,0.2597262566983882,3.8514960498892805e-15,0.05160985698685666,5.6200401544302764e-15
NVP-ADW742,0.3573100542922481,1.7158355848743368e-28,0.1976020727400246,4.381508725661253e-28
Navitoclax,0.337277464978429,1.2787601655663558e-25,0.25090139076831125,2.797945339911738e-25
Nelarabine,0.46534824644161976,2.2544277687395938e-38,-0.26417775412662475,1.1116661066543515e-37
Nilotinib,0.39603369541275024,4.674265746756819e-35,0.029009852260465374,1.9097714336749288e-34
Niraparib,0.4362215042011923,2.4465262342859613e-40,0.21704264788404323,1.4279724551138469e-39
Nutlin-3a (-),0.3773481853559236,3.600912308718295e-32,0.048911863032075946,1.1702965003334457e-31
OF-1,0.29387991115147755,3.3915971288856043e-18,-0.07928887491269639,5.300528846236518e-18
OSI-027,0.15710885138816416,2.122138357580844e-06,-0.06890561965644983,2.457212835093609e-06
OTX015,0.24909689461135806,2.476969020535819e-13,0.14989162080003074,3.341571414496435e-13
Obatoclax Mesylate,0.24200759275251651,1.5452013965667466e-11,0.17442608379762936,2.0271908230187596e-11
Olaparib,0.43895653204764734,4.1990781431323576e-44,0.1258098056868967,3.532165732164277e-43
Osimertinib,0.1217813738435761,0.00025225358935935616,-0.24690119055573242,0.00028071800216644303
Oxaliplatin,0.4580816865633894,2.3678552141720855e-48,0.30810400740023564,3.386032956266082e-47
P22077,0.41438991076943715,1.167513539402791e-38,0.1779432327609591,5.96265843337854e-38
PAK_5339,0.3595707213616606,1.7352783212556288e-22,0.22393152246285644,3.265063157099407e-22
PBD-288,0.46452318631089584,1.3174542817531608e-39,0.44122894239534804,7.245998549642384e-39
PCI-34051,0.43310976104800925,9.96650557347168e-40,0.14494462316375936,5.5890599882605885e-39
PD0325901,-0.15652141129964436,2.0908515862642083e-06,-0.30956085688863766,2.4308274539494456e-06
PD173074,0.29009923357635664,4.376563839802446e-19,-0.006237523208117039,7.032007068446627e-19
PF-4708671,0.3771596786618246,2.727344727869971e-09,0.1366787718719049,3.391393879003529e-09
PFI-1,0.3428329084346046,6.39950789526303e-26,0.024705677122008073,1.4188056263916487e-25
PFI3,0.4259961293271998,2.340876594814181e-38,-0.3268724189227304,1.134730010367552e-37
PLX-4720,0.08370278469892463,0.011862857541852612,-0.2595661088152251,0.012802933045169235
POMHEX,0.5322991607467988,1.2403485399717528e-53,0.46757222411772936,3.5473968243192126e-52
PRIMA-1MET,0.39172192704354736,3.401684010328724e-32,0.2559677474435993,1.1182547436253046e-31
PRT062607,0.2735957270752529,6.900671376710544e-16,0.10280713925740065,1.033294248031003e-15
Paclitaxel,0.3025355504554121,1.6660041144107252e-20,0.06659555574182008,2.819391578233535e-20
Palbociclib,0.4152622856886478,3.0374141450983974e-39,0.2469673775980262,1.6087045287002625e-38
Pevonedistat,0.3663064459414254,6.702424262979495e-30,0.3382092906858866,1.8979141972397382e-29
Picolinici-acid,0.387608212332071,1.8182032513276398e-31,-0.35516695063663895,5.652240542170707e-31
Pictilisib,0.07333164937735968,0.027045754649911102,-0.02329027760901161,0.028333647728478295
Piperlongumine,0.3725251446679526,1.1152602490875263e-07,0.31084837420777073,1.334579210205157e-07
Podophyllotoxin bromide,0.43285534148345384,6.351613526135806e-33,0.3767749934624216,2.215318863993708e-32
Pyridostatin,0.3900175591071305,8.082300283018756e-34,0.16637846074958532,3.0019972479783954e-33
RO-3306,0.4323859474320381,3.2993188705842597e-42,0.3105230102147457,2.3590129924677453e-41
RVX-208,0.32431872405047657,5.32140111956586e-22,-0.12017588641893492,9.693762549018063e-22
Rapamycin,0.23041106392550129,3.175229790583201e-12,-0.04643118698506456,4.204239444938868e-12
Refametinib,-0.18568302126042135,2.4014740686771862e-08,-0.30758083620013327,2.910260947634217e-08
Remodelin,0.4370410167548583,4.8754475017889765e-18,0.12802686096930993,7.578141225606778e-18
Ribociclib,0.4634340590605986,3.6143121961495044e-49,-0.02646374729341132,6.080548753522107e-48
Romidepsin,0.18749469446868128,6.912244973547613e-07,0.009547519730893992,8.068988009937213e-07
Rucaparib,0.42272066493863236,6.264165604697851e-40,-0.03627967048305497,3.583102725887171e-39
Ruxolitinib,0.37002657522398835,8.81659288801813e-29,-0.09936658964924565,2.356584641096435e-28
SB216763,0.2786687509754714,1.6950975647365418e-17,-0.31449322488337317,2.6064403414766182e-17
SB505124,0.35004869821653567,4.9431819033969476e-08,0.19388794232158574,5.940126152821542e-08
SB590885,0.42786480344075456,9.576950073575832e-41,-0.08710612502473643,5.954364610962366e-40
SCH772984,-0.06891815126277749,0.03807676373233622,-0.2692162241348729,0.03974435922426335
SGC-CBP30,0.393307840523121,6.000684462464244e-27,-0.25457586838878704,1.3729566050118188e-26
SGC0946,0.32381496080071676,3.78407370199234e-23,-0.3811253846368986,7.362211420202784e-23
SL0101,0.2525506337834114,0.0004239322212463185,-0.20284703331420553,0.0004699403692885546
SN-38,0.316343304127536,2.290007985568481e-22,0.1339053439231243,4.1983479735422153e-22
Sabutoclax,0.43815374925957085,1.2579354827764002e-40,0.4208044870501448,7.495198918209384e-40
Sapitinib,-0.08656476389349275,0.009060408108045395,-0.3944720123383481,0.009852763189737577
Savolitinib,0.3587747336188935,1.0673165993852515e-28,-0.17477157070895472,2.8264124761498327e-28
Schweinfurthin A,0.4233834267388852,2.1944377653872596e-31,0.3368549430066454,6.67669362660379e-31
Selumetinib,-0.07563250201188004,0.022582735399573138,-0.31322294975121634,0.023920971571399694
Sepantronium bromide,0.123528201886669,0.0002032580166958884,0.2552837812362887,0.00022707731552743782
Serdemetan,0.40547294547395313,1.3910577821125827e-36,0.15634688185212167,6.027917055821191e-36
Sinularin,0.3644540494615545,3.930896582757829e-23,-0.21389533523848758,7.596192045059048e-23
Sorafenib,0.5468564117568869,2.506839653085567e-71,0.41583034395376084,3.5847807039123607e-69
Staurosporine,-0.036202209140227426,0.2752993461131154,0.005112288911754535,0.2811986178155393
TAF1_5496,0.3876352534278357,3.675269343889187e-26,0.12580818393033283,8.211929940252402e-26
THR-101,0.4484059731244579,2.8730213709722863e-36,-0.14918176494176583,1.2263941971613043e-35
THR-102,0.48073908386112607,3.6381741136844595e-42,-0.15161672438124477,2.5378482841798913e-41
THR-103,0.4641789378369894,4.573091348787259e-39,0.06592292425887979,2.3780075013693747e-38
TW 37,0.36054147962973476,1.2043112952250998e-12,0.2510375768404064,1.6170564809125753e-12
Talazoparib,0.28798778778803485,1.305973554996081e-18,0.1513236110588199,2.075046870715995e-18
Tamoxifen,0.39569226881637853,4.5493508348435565e-35,0.11581716409831208,1.8856729547322569e-34
Tanespimycin,-0.09012962419377035,0.007069476053244614,-0.24217191239068628,0.007746628931907891
Taselisib,0.03932263991714463,0.23651749830515123,-0.08561223359050835,0.2424516290870009
Telomerase Inhibitor IX,0.3290485873027827,3.615514003785869e-24,0.2755301684550647,7.333595780728783e-24
Temozolomide,0.43054489917321764,2.8345538896795536e-42,-0.040999070512306494,2.0786728524316728e-41
