,sr,dne,shannon,mad800,cytotrace,netith
TCGA-CF-A9FL-01,3.1913135357308214e-14,350.2803457408507,2.923714674028914,2.130000000000001,12.586649999999999,3.467749134662617
TCGA-CF-A9FM-01,0.691675523239236,302.72610767350443,3.056193655549294,2.3600000000000003,12.2121,3.043692775718262
TCGA-CU-A0YN-01,1.474905903686904,400.1395050077139,3.487516861935968,2.0149999999999997,12.565850000000001,2.912962788051901
TCGA-CU-A0YN-11,2.858861825037799,341.0072647720511,3.2223454356177808,2.54,12.53975,3.271760278759108
TCGA-CU-A0YO-01,1.650609266587482e-14,381.49957127322267,4.175772914951057,1.9349999999999996,12.657850000000002,3.137392396666623
TCGA-CU-A0YR-01,1.5492561630195687,399.28244452504566,4.345775806940045,2.045,12.418400000000002,2.661072888477055
TCGA-CU-A0YR-11,1.667353330578603e-14,409.12220908471124,4.153114858110498,1.8599999999999994,12.594550000000002,3.3429076450325867
TCGA-CU-A3KJ-01,1.399458793808096,356.3615289982192,3.039329923988999,2.3899999999999997,12.562449999999998,2.879947362220194
TCGA-CU-A3QU-01,1.91818809178125e-14,283.4982198387287,4.159182506702223,2.81,12.022950000000002,3.339139613225123
TCGA-CU-A3YL-01,1.9938533022139372e-14,316.8457726148558,3.7659508713976546,2.0,11.993699999999999,2.4099882646839594
TCGA-CU-A5W6-01,2.5964082739212632e-14,364.9621539034501,4.056327904852185,1.9449999999999994,12.486600000000001,2.959514696031379
TCGA-CU-A72E-01,0.6909050716791275,356.3022793494994,3.3024406373778676,2.1899999999999995,12.8724,3.248675440911513
TCGA-DK-A1A3-01,1.5386238776418368,388.8545224556776,3.989553986675907,2.0500000000000007,12.468800000000002,2.9575376453046918
TCGA-DK-A1A5-01,1.7955965658683307e-14,320.09377976563087,3.83586013533153,2.1999999999999993,12.776900000000001,2.821209955085504
TCGA-DK-A1A6-01,2.1266964813058578,348.9769610157192,3.791933992058609,2.365,11.9554,3.165320145630198
TCGA-DK-A1A7-01,7.840434152927455e-15,404.40556107835584,3.3450950215665083,1.7750000000000012,11.992550000000001,2.5530962111890387
TCGA-DK-A1AA-01,0.6916861882002793,297.8821287371352,3.2823292147530467,2.3900000000000006,12.60565,3.40744051929602
TCGA-DK-A1AB-01,1.4461163616168853,356.56774201403573,3.4685971387295003,2.005,13.130900000000002,2.5744171478831697
TCGA-DK-A1AC-01,3.054951801846139e-14,377.1612367136622,3.867487364113927,2.014999999999999,12.0262,3.0175356493263963
TCGA-DK-A1AD-01,1.5288804652028598,386.5599906151497,4.064490100401133,2.1400000000000006,12.25075,3.346592636523092
TCGA-DK-A1AE-01,0.6918918980906814,355.3452471783998,3.7623576840293422,2.1800000000000006,12.058499999999999,3.482034751857632
TCGA-DK-A1AF-01,1.338125995146384,403.173424556819,4.054997591964993,1.6949999999999994,12.9889,3.162135049817323
TCGA-DK-A1AG-01,0.6915918322017895,298.1235540879589,4.1610831301228695,2.1450000000000005,12.1598,3.1120061728830635
TCGA-DK-A2HX-01,1.6951680310967773e-14,372.0478142568045,3.7908556457796374,2.0249999999999995,13.00865,3.0270193961465104
TCGA-DK-A2I1-01,1.3991872261284961e-14,380.1207986298555,3.9310717051816897,1.9799999999999995,12.697650000000001,2.5964250349596485
TCGA-DK-A2I2-01,1.6270530021726781,357.8155685039572,3.821545920122859,1.9849999999999994,13.0178,2.923594308357286
TCGA-DK-A2I4-01,0.6916781403286392,395.9056714152827,4.192482729736985,1.834999999999999,12.81835,3.2421694399776104
TCGA-DK-A2I6-01,0.6922478547145479,292.20201559095665,4.427674095830561,2.3549999999999995,12.210450000000002,3.337133450861276
TCGA-DK-A3IK-01,4.425507488874941e-15,363.52501292202294,3.900049924853257,1.9750000000000014,12.305349999999999,2.5597253105673703
TCGA-DK-A3IL-01,1.9225353408509125,354.685478743198,3.4909964709032426,2.2250000000000014,12.178600000000001,2.8807633175095653
TCGA-DK-A3IM-01,1.3219347042531374e-14,337.34930601232963,2.844155240747593,2.17,12.3258,2.793241999399682
TCGA-DK-A3IN-01,1.5361354324891239,404.8013843499251,4.037609765420664,1.8450000000000006,12.64625,2.371375792768764
TCGA-DK-A3IQ-01,2.024717090761378,348.7448670522474,2.552807840634304,2.075,13.234000000000002,3.395000120124457
TCGA-DK-A3IS-01,3.418648146557495e-14,282.78560597934717,3.183400483068644,2.3500000000000005,12.32715,3.3004596644636632
TCGA-DK-A3IT-01,0.6925891552982364,391.48784128287593,4.348611414938014,2.0599999999999996,12.443999999999999,3.0177102753731644
TCGA-DK-A3IU-01,1.4154764223942784,400.17591580650145,2.7311651788583164,1.9850000000000003,12.943649999999998,3.078947042236634
TCGA-DK-A3IV-01,1.469336187504909,394.1345075993735,4.479028412129414,2.0,12.078049999999998,2.631431557004238
TCGA-DK-A3WW-01,0.6923665317254051,337.9385850405016,3.4327582523121736,2.3299999999999996,13.04415,3.2343082181673246
TCGA-DK-A3WX-01,3.1365521118526453e-14,378.7602031939514,3.6468565220269245,2.1449999999999996,12.71445,2.534151699879008
TCGA-DK-A3WY-01,1.3255407739653693,379.70637532412644,3.8130529074082324,1.834999999999999,12.21145,2.753207080669022
TCGA-DK-A3X1-01,1.0164810268468884e-14,313.06011379033004,4.307022706657676,1.9800000000000004,12.2456,2.6913983107457318
TCGA-DK-A3X2-01,2.4354707894891785e-14,279.6089727443797,2.699995018302673,2.1700000000000004,11.60155,3.022542079819488
TCGA-DK-A6AV-01,1.9145985747362413,330.11429816393024,4.21793224734278,2.195000000000002,12.1477,3.1359330555628646
TCGA-DK-A6AW-01,0.6927477303582763,354.391864923279,4.135113876779048,2.4450000000000003,12.568,2.666669683397454
TCGA-DK-A6B0-01,1.728728260487878e-14,246.7200125917362,2.7763916969602573,2.5349999999999997,12.1885,2.99476583009252
TCGA-DK-A6B1-01,0.6924877238465728,313.3764901927091,4.153084855101108,2.2650000000000006,12.1528,3.2628331823322214
TCGA-DK-A6B2-01,1.4881621973844679,392.25417651001646,4.265694839150893,1.9799999999999995,12.6652,3.0601475417586217
TCGA-DK-A6B5-01,1.413584559924512,354.5847717461223,4.069783121074209,2.075,12.57215,2.816925480550048
TCGA-DK-A6B6-01,2.934407528343306e-14,336.3231803093054,3.7180186909954944,2.3149999999999995,11.871199999999998,2.3247431935929117
TCGA-DK-AA6L-01,3.6988749810952046e-14,362.98555148558,4.0227606476119,2.175,12.3735,3.0728538610358878
TCGA-DK-AA6M-01,2.6901870490255926e-14,379.93857022537793,3.5128374611549162,2.1550000000000002,12.80435,3.2267024907107844
TCGA-DK-AA6P-01,3.317678662099781e-14,288.0320388642848,4.05855110828658,2.2300000000000004,11.7366,2.3206241495540567
TCGA-DK-AA6Q-01,2.1732487995306346e-15,343.81632925649075,3.9754967219666595,2.2950000000000004,12.594999999999997,3.10044130281848
TCGA-DK-AA6R-01,1.4186420698524014,347.49889760631754,3.4579195866783565,2.3400000000000003,12.856949999999998,3.219469471249872
TCGA-DK-AA6S-01,1.5502480347651968,381.97460332220726,3.7751808175307304,1.8199999999999998,12.821149999999998,2.8364917415399784
TCGA-DK-AA6T-01,0.6929281446011603,385.71955686295405,3.83444951138401,1.910000000000001,11.44355,3.410364129481528
TCGA-DK-AA6U-01,1.5516766925645638,352.4708683397503,4.329418938295233,1.8950000000000014,11.783800000000001,3.1548455850931463
