,sr,dne,shannon,mad800,cytotrace,activity,netith
SR,1.5943077915415333,74.19599853159619,4.484838885014835,0.7984858235252896,9.033713632604679,0.19275746941415037,5.647464113371147
SK-MG-1,3.0319144618271476,150.98951900239845,4.7024972833182055,2.0636427899015297,9.42289642756328,0.16891040820300876,5.880396790005165
SKG-IIIa,1.4752692906060423,220.99581678981988,4.931341132439647,2.3609744508925052,9.797024208842153,0.18001736341598717,5.508709406299176
KNS-62,1.4750067756899923,74.05478507793535,4.931973223493137,2.185034749039975,9.611397074836509,0.15480098513347898,5.802734685244509
H4,3.090153705976433,19.99752580413559,4.881602171634118,2.4471505579253305,9.820153424406126,0.20689816448224052,5.813209602501534
HT55,1.7730611891097254,133.3284473693015,4.561942341066112,1.5326603746367953,9.356093750616418,0.30924588317470103,5.512523101130936
SK-MM-2,1.4840502464129268,228.44627182948005,4.146302384736418,0.87389363854727,8.534166937499377,0.20218428881380301,5.780878151765245
JiyoyeP-2003,4.7031943484266286e-14,146.54875632823803,4.351884110093504,0.6280049698585752,8.794259334697523,0.26038476817683187,5.58286169129701
JHH-6,3.1166234514092714,249.1532973592235,4.851573743692535,2.0183275278043995,9.429338098204678,0.217815724877103,5.715179454151964
IM-95,1.4354243643115754,54.29963339795296,4.698039680887486,1.6836974163208391,9.245310802879638,0.17585180504301487,5.446647920836586
SCC-15,1.5028664020601694,181.1658144192258,5.073421080528307,2.4293169711528844,10.197048142523405,0.20516170619557467,5.506611333084737
TOV-112D,2.9287080363547204,195.1489623614239,4.028328724359385,1.0324576192722348,8.655614477376302,0.25895202160464903,5.266342355492792
SKN,1.5401751211296997,104.74460872050128,4.775916244501376,2.3293626518020156,9.610376367245431,0.1715060514534099,6.262475177490132
SK-LU-1,3.017147534912268,118.61825621715259,4.895066099858049,2.4340874332026754,9.681115682571054,0.22691051134966156,5.531785676611282
KARPAS-422,1.5931724456535443,327.6660634575129,4.128006064166767,0.4072001138803749,8.080288607568972,0.3098472833150953,5.48445671797156
HuP-T4,1.4758582248879162,62.670512994584385,4.699187447615937,2.1550137446182953,9.522476604721113,0.22715884070602388,5.774877045033808
HAL-01,1.4914896524125945,311.7897318508565,4.354986473000084,0.6671503314699099,8.629969349139573,0.3468073649864988,5.516018167103449
HLE,3.0725977369217445,268.4220931743549,4.692540134181851,1.7929607490076498,9.200639016736352,0.15083316499435231,5.776364990934781
SK-PN-DW,1.9069992420057422,250.35806872482792,4.226651842883689,1.2405079168189301,8.777009980263122,0.19311121114793062,5.808094498336095
J82,3.130802871794093,74.96762440188877,4.786312063112127,2.2972979672302793,9.497413903354586,0.16373036422335402,5.803497420030151
JHH-7,1.8780766332049366,120.64902159064223,4.766728379947922,1.6962575475916857,9.216989997729263,0.22294508146844377,5.6409358913644585
IGR-37,1.448334840858012,246.95038380036783,4.385095937869932,1.6228434489499,9.372594593170875,0.21455333864193835,5.627095022705625
SAT,3.245979521683955,270.4959509331685,4.812936445345089,2.3220939476591456,9.718560870877191,0.14300236825775717,5.530907558930355
