cell_line,phospho_netith,original_netith
EFM-19,4.857465529649428,6.725077945312377
EFM-192A,4.737632985546709,5.813372312574046
EFO-21,5.017144451696851,5.6250971102051
EFO-27,4.7737312496806075,5.821630746275986
EJM,4.343614828653703,5.517950344452388
EKVX,4.769497263492095,5.76009960036173
EM-2,4.756913096594059,5.683163090858801
EMC-BAC-1,4.675456160767508,5.5930209341742065
EMC-BAC-2,4.807861533679642,5.85915452338581
EN,4.73499619149743,5.94063443177211
EPLC-272H,4.885718860935458,5.890546923157187
ES-2,4.6025925626183986,5.515237476674799
ES1,4.8583756564474605,5.848503126416323
ES4,4.672345112300777,5.784133770808337
ES5,5.110556235714091,5.969209207281932
ES6,4.751254757117071,5.704174415783805
ES7,4.9133728513823005,5.850161994887385
ES8,4.922042600534137,5.826396590817234
ESO26,4.606445369137579,6.022880552213218
ESO51,4.67902768452594,5.594969773752923
ESS-1,5.147720183981376,5.833951860213404
ETK-1,4.3741542344942665,5.779749057813376
EVSA-T,5.073743259505334,6.456736774646221
EW-1,4.261402539844175,5.577472798830152
EW-11,5.031131268514859,5.83533728286042
EW-12,4.433217681652741,5.860912935557278
EW-13,4.823878362639955,5.619609234104996
EW-16,4.933171535073975,5.262738399589539
EW-18,4.911126185675971,5.771377289405108
EW-22,4.950379541245147,5.904177029235335
EW-24,4.8562874868481,5.800745904040826
EW-3,4.875882074822887,5.582666702830249
EW-7,5.04597436600514,5.768955489423991
EoL-1-cell,4.557320544142319,5.463796070403167
FADU,3.874952866780675,5.8532301695502875
FLO-1,4.626032190444455,5.945167029202288
FTC-133,4.421668252037739,5.629618137606244
FU-OV-1,4.751457921928632,5.961357235517384
FU97,4.406843126391108,5.462817239375111
Farage,4.604107512551273,5.339525065686107
G-292-Clone-A141B1,4.636851089693284,5.581034236614971
G-361,4.67613313237039,5.876639751035673
G-401,4.564730820558217,5.481190076938718
G-402,5.199689926858541,6.161935812229988
G-MEL,4.478076694893355,5.781567614972416
GA-10,4.529111573227571,5.540161720658751
GAK,4.74486970536385,5.777666020292611
GAMG,4.387709829979459,5.603145915378553
GB-1,4.525075326083107,5.616337244136521
GCIY,4.674005832531019,6.005155335074569
GCT,4.63773082023701,5.70235532236662
GDM-1,4.315090688364135,5.235694772115639
GI-1,4.74925539682679,5.750565681474308
GI-ME-N,4.6315954987466785,5.466489498163755
GOTO,4.702121303479515,5.912999186187467
GP5d,4.7284025261542615,5.8153941433050855
GR-ST,4.40195348214194,5.37316494575852
GRANTA-519,4.587207732342195,5.352468889160421
H-EMC-SS,4.640666131213955,5.514830908016174
H3255,4.43402654107103,6.040934539488809
H4,4.867214937699313,5.813209602501534
H9,4.568634154659659,5.446283175836454
HA7-RCC,4.451746493922948,5.737345559786087
HAL-01,4.571839618359197,5.51601816710345
HARA,4.815816919666595,5.6853434207905735
HC-1,4.4083262573236865,5.49396545620064
HCC-15,4.713105744963416,5.3757332148526595
HCC-366,3.4535334135535587,5.93456336996819
HCC-44,4.567627971706704,5.7755514130027095
HCC-78,4.7355136687303965,5.799632661862567
HCC-827,4.741063924948899,5.5668357233881585
HCC1143,4.917672811069368,5.728071903783363
HCC1187,4.6104379638022275,5.3070636471261645
HCC1395,4.560507756468386,6.075340427130355
HCC1419,4.656870164459415,6.40818285041421
HCC1428,4.976978176177587,5.9116712482406175
HCC1500,4.659355217777649,5.6878988121020475
HCC1569,4.809850181512831,5.775611528707078
HCC1599,4.540937850322507,5.589498669187682
HCC1806,4.660989165252664,5.517306976976785
HCC1937,4.805616748313321,5.851647413126091
HCC1954,4.711921030006045,5.705051247742254
HCC202,4.6901889583201415,5.851448467637566
HCC2157,4.651188980233819,5.716935560129545
HCC2218,4.836172095925781,5.844860651711957
HCC2998,5.038413586510078,5.861797303541166
HCC38,4.672508278554428,5.806244834198598
HCC70,4.58328133189408,5.638391172634412
HCE-4,4.678806403937744,5.805133333309134
HCT-116,4.878142068093136,5.694439037345051
HCT-15,4.704204016646905,5.647661229836064
HDLM-2,4.4224930983922786,5.927730404529994
HDQ-P1,4.79750193380585,5.8366856109288925
HEC-1,4.564645094170232,5.55211367154317
HEL,4.134737220484661,5.2921685146512125
HGC-27,4.5800354027710455,5.625213865183793
HH,4.7139899974855854,5.862272488788157
HL-60,4.590711524372405,5.258981073156239
HLE,4.734927974886198,5.77636499093478
HMV-II,4.661193073917791,5.620798924366481
HO-1-N-1,4.358662870055039,5.239493390030748
HO-1-u-1,4.5977491551967065,5.425982074005564
HOP-62,4.755686476060724,6.2429130611774095
HOP-92,5.115803842042125,5.949731896572462
HOS,4.806651885557148,5.919736465370697
HPAC,4.522122124068337,5.635945301677278
HPAF-II,4.679955320783759,5.571429052598895
