k,combo,tfs,n_tfs,delta_netith_pred,abs_delta
4,PAX3+HES1+NFIA+AEBP1,"AEBP1,HES1,NFIA,PAX3",4,-0.20596179131403963,0.20596179131403963
4,HEYL+ZBTB20+DNMT3B+NPM1,"DNMT3B,HEYL,NPM1,ZBTB20",4,-0.20594364850645402,0.20594364850645402
4,STAT1+FOXP3+RARG+HOXC13,"FOXP3,HOXC13,RARG,STAT1",4,-0.20585230440687055,0.20585230440687055
4,ZBTB20+RARG+DNMT3B+HES1,"DNMT3B,HES1,RARG,ZBTB20",4,-0.2058458182860332,0.2058458182860332
4,HES1+NPM1+AEBP1+ZNF165,"AEBP1,HES1,NPM1,ZNF165",4,-0.20580785478465596,0.20580785478465596
4,PAX3+ZBTB20+SFPQ+NPM1,"NPM1,PAX3,SFPQ,ZBTB20",4,-0.2058069437986389,0.2058069437986389
4,HEYL+HES1+HOXC13+AEBP1,"AEBP1,HES1,HEYL,HOXC13",4,-0.20577293074864134,0.20577293074864134
4,ATF4+RARG+AEBP1+ZNF165,"AEBP1,ATF4,RARG,ZNF165",4,-0.20560539905862368,0.20560539905862368
4,STAT1+FOXP3+SRF+ZNF165,"FOXP3,SRF,STAT1,ZNF165",4,-0.20559595339243675,0.20559595339243675
4,ATF4+PAX3+HOXC13+ZNF165,"ATF4,HOXC13,PAX3,ZNF165",4,-0.2055064329149806,0.2055064329149806
3,STAT1+HEYL+NFIA,"HEYL,NFIA,STAT1",3,-0.20546921328319528,0.20546921328319528
4,ATF4+DNMT3B+SRF+AEBP1,"AEBP1,ATF4,DNMT3B,SRF",4,-0.20536864513266623,0.20536864513266623
4,ATF4+SFPQ+HES1+ZNF165,"ATF4,HES1,SFPQ,ZNF165",4,-0.2052855161159408,0.2052855161159408
4,PAX3+HEYL+ZBTB20+DNMT3B,"DNMT3B,HEYL,PAX3,ZBTB20",4,-0.2052733337980897,0.2052733337980897
4,ZNF202+HOXC13+AEBP1+ZNF165,"AEBP1,HOXC13,ZNF165,ZNF202",4,-0.20517936345674298,0.20517936345674298
4,PAX3+HES1+AEBP1+ZNF165,"AEBP1,HES1,PAX3,ZNF165",4,-0.20513754007629165,0.20513754007629165
4,ATF4+SMAD7+ZNF202+AEBP1,"AEBP1,ATF4,SMAD7,ZNF202",4,-0.2050942619819186,0.2050942619819186
4,STAT1+FOXP3+HEYL+SFPQ,"FOXP3,HEYL,SFPQ,STAT1",4,-0.2050589031198873,0.2050589031198873
4,ATF4+HES1+NPM1+HOXC13,"ATF4,HES1,HOXC13,NPM1",4,-0.20504586386610854,0.20504586386610854
