drug,n,rho_original,p_original,rho_phospho,p_phospho,rho_kinase_only,p_kinase_only,rho_combined,p_combined,delta_phospho,delta_combined
SB216763,899,0.22047653377133547,2.3276367640193617e-11,0.1087778303534489,0.0010881605995036502,,,-0.09972591834695484,0.002758700457627781,-0.11169870341788657,-0.3202024521182903
Obatoclax Mesylate,756,0.14869336141699166,4.052530775747131e-05,0.03720545937208084,0.30695036635850975,,,-0.08962269666163566,0.013697445449744834,-0.11148790204491082,-0.23831605807862732
NVP-ADW742,900,0.21243522522867317,1.2120245476104516e-10,0.10237555025788099,0.0021044543240692068,,,-0.11357350646934956,0.0006412936555742438,-0.11005967497079218,-0.32600873169802275
AZD4547,901,0.22442223594872407,9.481767444099486e-12,0.11517888065572209,0.0005321660930482486,,,-0.11344305784900244,0.00064612879466402,-0.10924335529300198,-0.3378652937977265
Crizotinib,908,0.2836692564340679,2.889808132949679e-18,0.1747735935190302,1.1577182897634772e-07,,,-0.11181483976586636,0.0007374354165323004,-0.10889566291503766,-0.39548409619993424
765771,691,0.26037805570416905,3.591097818915627e-12,0.15169426027891003,6.240162864825189e-05,,,-0.09073929737489403,0.017039330364606704,-0.10868379542525902,-0.3511173530790631
IGF1R_3801,690,0.15996327764128707,2.4269720554744727e-05,0.05143725587946314,0.1771475698504149,,,-0.09483688860108289,0.012693170387406517,-0.10852602176182392,-0.25480016624236995
BMS-345541,838,0.31207701913436137,2.1898345790630304e-20,0.20424558991620093,2.420539941409922e-09,,,-0.11008048241139301,0.0014149568651114941,-0.10783142921816044,-0.4221575015457544
OTX015,839,0.22737183266979225,2.6722346395166118e-11,0.11981758274893357,0.0005052867655605712,,,-0.0945891090939606,0.006108764496120924,-0.10755424992085867,-0.32196094176375284
Bleomycin,691,0.16532613878433414,1.2531295029116992e-05,0.05780586865413901,0.12900070535033997,,,-0.0806698626544787,0.03399120610333094,-0.10752027013019513,-0.24599600143881284
Temsirolimus,866,0.13961485264173587,3.74225055726853e-05,0.032503797802925914,0.33938118405092565,,,-0.09411911596912904,0.005573349811213747,-0.10711105483880995,-0.23373396861086493
Mitoxantrone,691,0.26168909931991,2.7748446087596175e-12,0.1549795980271243,4.2896477991382414e-05,,,-0.08610618191234808,0.023600567397187543,-0.10670950129278572,-0.3477952812322581
VE-822,840,0.25966430143547736,2.071521677986814e-14,0.15334754078247192,8.035145319854346e-06,,,-0.09770535389080767,0.0045920828087244285,-0.10631676065300544,-0.35736965532628506
