drug,n,rho_netith_raw,p_netith_raw,rho_netith_ctrl_ev,p_netith_ctrl_ev,rho_netith_ctrl_mad,p_netith_ctrl_mad,rho_netith_ctrl_shannon,p_netith_ctrl_shannon,fdr_netith_raw,fdr_netith_ctrl_ev,fdr_netith_ctrl_mad,fdr_netith_ctrl_shannon
N25720-51-A1,717,0.24748471176547993,1.8158394014050372e-11,0.26412582343488206,6.567478447865463e-13,0.16042663096150966,1.5872983524697844e-05,0.19792384990629544,9.11791082909357e-08,4.256803842638038e-11,1.8538648072379914e-12,3.574545896113058e-05,2.1551425596039346e-07
N27922-53-1,718,0.2669291569477187,3.5315330388452447e-13,0.27757976826378616,3.611396978068868e-14,0.17038898383082932,4.404479047412415e-06,0.20731908694697837,2.063772695692995e-08,1.174440057104349e-12,1.2910744196596201e-13,1.3606042488107243e-05,6.022846846614251e-08
N29087-69-1,718,0.30135467750123807,1.5380368022886594e-16,0.30904942427588095,2.3498313482290155e-17,0.2009271251089646,5.6342175395428466e-08,0.23956577790646957,7.871631046666043e-11,1.3329652286501713e-15,2.240172551978328e-16,4.60396061802644e-07,5.772529434221766e-10
N30652-18-1,718,0.2986789190156172,2.9177346750975873e-16,0.30628444682433736,4.645337142581968e-17,0.20169103008499517,5.0054721910197214e-08,0.23827245951709686,1.000492062593407e-10,2.4543297561114997e-15,3.9075483022895377e-16,4.21048543126953e-07,6.812874521469391e-10
NU7441,887,0.2041689765928384,8.417263528851123e-10,0.21139969641271358,2.0287904267529423e-10,0.10866105887432242,0.0011901055902847144,0.13614467394424176,4.742404817590113e-05,1.533335903981797e-09,3.7434455616215577e-10,0.001679805451929925,6.71449394965729e-05
NVP-ADW742,900,0.21243522522867317,1.2120245476104516e-10,0.2177129930613083,4.0658545681665324e-11,0.15138935562471886,5.074471450247871e-06,0.17505866879671048,1.254810996910296e-07,2.4759930044042083e-10,8.426336278953829e-11,1.5118740049129184e-05,2.917690610701989e-07
Navitoclax,909,0.1837664567153816,2.3988814629664203e-08,0.18059303049925463,4.1945581466216304e-08,0.14989360242119001,5.660665087827788e-06,0.1516041438098402,4.4095715040548285e-06,3.6886026796150333e-08,6.0588062117868e-08,1.6353032475946944e-05,7.289811850633994e-06
Nelarabine,690,0.2708440526207693,4.577356482335683e-13,0.27739124772825385,1.1770306074615e-13,0.1808412152496234,1.74276231096776e-06,0.2217684721582842,3.902042608119465e-09,1.4876408567590967e-12,3.7823680194830224e-13,6.6457336124903915e-06,1.5499780360030096e-08
Nilotinib,897,0.19825899807077785,2.1098380367215406e-09,0.2066601392700453,4.1466923459568557e-10,0.07957417781937244,0.01713953032510336,0.13410946925641412,5.597022087994214e-05,3.6756598734364186e-09,7.275791478181968e-10,0.020255808566031246,7.808528376421197e-05
Niraparib,840,0.30478742175088114,1.6207824234859028e-19,0.30058961048900096,5.304875769700645e-19,0.21180152304232694,5.649133154932544e-10,0.253081606651127,9.648883212626418e-14,4.214034301063347e-18,8.428858167413246e-18,1.780191586476414e-08,3.3051562014785686e-12
