,sample,netith_bulk
TCGA-DK-AA6X-01,TCGA-DK-AA6X-01,3.34415605005932
TCGA-DK-AA71-01,TCGA-DK-AA71-01,2.864914325908402
TCGA-DK-AA74-01,TCGA-DK-AA74-01,2.824631299342122
TCGA-DK-AA75-01,TCGA-DK-AA75-01,2.24246985898611
TCGA-DK-AA76-01,TCGA-DK-AA76-01,2.794313010336238
TCGA-DK-AA77-01,TCGA-DK-AA77-01,3.25955065445866
TCGA-E5-A2PC-01,TCGA-E5-A2PC-01,3.030708992688475
TCGA-E5-A4TZ-01,TCGA-E5-A4TZ-01,3.3454464347703614
TCGA-E5-A4U1-01,TCGA-E5-A4U1-01,2.446759198355722
TCGA-E7-A3X6-01,TCGA-E7-A3X6-01,3.526139619032477
TCGA-E7-A3Y1-01,TCGA-E7-A3Y1-01,3.1996436035941853
TCGA-E7-A4IJ-01,TCGA-E7-A4IJ-01,2.795402539362755
TCGA-E7-A4XJ-01,TCGA-E7-A4XJ-01,2.792946223583646
TCGA-E7-A519-01,TCGA-E7-A519-01,2.8482312800871967
TCGA-E7-A541-01,TCGA-E7-A541-01,3.419811639867594
TCGA-E7-A5KE-01,TCGA-E7-A5KE-01,3.3325365265451987
TCGA-E7-A5KF-01,TCGA-E7-A5KF-01,3.590454056783815
TCGA-E7-A677-01,TCGA-E7-A677-01,2.8231712209405244
TCGA-E7-A678-01,TCGA-E7-A678-01,3.0208516458980643
TCGA-E7-A6MD-01,TCGA-E7-A6MD-01,2.6772601831899037
TCGA-E7-A6ME-01,TCGA-E7-A6ME-01,2.728178762905168
TCGA-E7-A6MF-01,TCGA-E7-A6MF-01,2.8553310959170144
TCGA-E7-A7DU-01,TCGA-E7-A7DU-01,3.3476417455939904
TCGA-E7-A7DV-01,TCGA-E7-A7DV-01,2.5989913870868286
TCGA-E7-A7PW-01,TCGA-E7-A7PW-01,2.854578576472062
TCGA-E7-A7XN-01,TCGA-E7-A7XN-01,3.1224301714884746
TCGA-E7-A85H-01,TCGA-E7-A85H-01,2.8690870296262734
