,sample,netith_bulk
TCGA-D8-A147-01,TCGA-D8-A147-01,2.836782531923375
TCGA-D8-A1J8-01,TCGA-D8-A1J8-01,2.9151761824250997
TCGA-D8-A1J9-01,TCGA-D8-A1J9-01,3.0878030975854225
TCGA-D8-A1JA-01,TCGA-D8-A1JA-01,3.2326395477967464
TCGA-D8-A1JB-01,TCGA-D8-A1JB-01,3.0067272446002935
TCGA-D8-A1JC-01,TCGA-D8-A1JC-01,3.055083965707201
TCGA-D8-A1JD-01,TCGA-D8-A1JD-01,3.379067590008681
TCGA-D8-A1JE-01,TCGA-D8-A1JE-01,3.298257434563043
TCGA-D8-A1JF-01,TCGA-D8-A1JF-01,2.836613727324324
TCGA-D8-A1JG-01,TCGA-D8-A1JG-01,2.8917515191841967
TCGA-D8-A1JH-01,TCGA-D8-A1JH-01,3.0823247882410114
TCGA-D8-A1JI-01,TCGA-D8-A1JI-01,3.083050581206452
TCGA-D8-A1JJ-01,TCGA-D8-A1JJ-01,3.2832978171318246
TCGA-D8-A1JK-01,TCGA-D8-A1JK-01,2.7296969942888887
TCGA-D8-A1JL-01,TCGA-D8-A1JL-01,2.8630942390319314
TCGA-D8-A1JM-01,TCGA-D8-A1JM-01,3.0678976799737216
TCGA-D8-A1JN-01,TCGA-D8-A1JN-01,3.1043709291882706
TCGA-D8-A1JP-01,TCGA-D8-A1JP-01,3.032644052639018
TCGA-D8-A1JS-01,TCGA-D8-A1JS-01,3.374879379555483
TCGA-D8-A1JT-01,TCGA-D8-A1JT-01,3.0871953205064098
TCGA-D8-A1JU-01,TCGA-D8-A1JU-01,3.2000029628886377
TCGA-D8-A1X5-01,TCGA-D8-A1X5-01,3.2842179007938297
TCGA-D8-A1X6-01,TCGA-D8-A1X6-01,3.226087867681972
TCGA-D8-A1X7-01,TCGA-D8-A1X7-01,3.351080375573691
TCGA-D8-A1X8-01,TCGA-D8-A1X8-01,3.0048425281889055
TCGA-D8-A1X9-01,TCGA-D8-A1X9-01,2.9570515470175023
TCGA-D8-A1XA-01,TCGA-D8-A1XA-01,3.2444172040480854
TCGA-D8-A1XB-01,TCGA-D8-A1XB-01,3.2581054089192296
TCGA-D8-A1XC-01,TCGA-D8-A1XC-01,3.364249751635618
TCGA-D8-A1XD-01,TCGA-D8-A1XD-01,3.019384686234364
TCGA-D8-A1XF-01,TCGA-D8-A1XF-01,2.952054983116072
TCGA-D8-A1XG-01,TCGA-D8-A1XG-01,2.830038845795964
TCGA-D8-A1XJ-01,TCGA-D8-A1XJ-01,3.408566369243502
TCGA-D8-A1XK-01,TCGA-D8-A1XK-01,3.2514051996853226
TCGA-D8-A1XL-01,TCGA-D8-A1XL-01,3.2059075077952475
TCGA-D8-A1XM-01,TCGA-D8-A1XM-01,3.033754486271139
TCGA-D8-A1XO-01,TCGA-D8-A1XO-01,2.819954995343121
TCGA-D8-A1XQ-01,TCGA-D8-A1XQ-01,2.8479275670894544
TCGA-D8-A1XR-01,TCGA-D8-A1XR-01,3.420086389532079
TCGA-D8-A1XS-01,TCGA-D8-A1XS-01,3.0880320348885393
TCGA-D8-A1XT-01,TCGA-D8-A1XT-01,3.30017508912564
TCGA-D8-A1XU-01,TCGA-D8-A1XU-01,2.6550949135652755
TCGA-D8-A1XV-01,TCGA-D8-A1XV-01,3.3448099527155906
TCGA-D8-A1XW-01,TCGA-D8-A1XW-01,2.8984102215712286
TCGA-D8-A1XY-01,TCGA-D8-A1XY-01,2.9104627406944523
TCGA-D8-A1XZ-01,TCGA-D8-A1XZ-01,3.1463101847791104
TCGA-D8-A1Y0-01,TCGA-D8-A1Y0-01,3.3941350579579437
TCGA-D8-A1Y1-01,TCGA-D8-A1Y1-01,3.0774674471849273
TCGA-D8-A1Y2-01,TCGA-D8-A1Y2-01,2.8518663449795256
TCGA-D8-A1Y3-01,TCGA-D8-A1Y3-01,2.886437718076721
TCGA-D8-A27E-01,TCGA-D8-A27E-01,3.25408853737758
TCGA-D8-A27F-01,TCGA-D8-A27F-01,3.317976151373312
TCGA-D8-A27G-01,TCGA-D8-A27G-01,3.084930515545146
TCGA-D8-A27H-01,TCGA-D8-A27H-01,2.6906428855549356
TCGA-D8-A27I-01,TCGA-D8-A27I-01,3.073773482499959
TCGA-D8-A27K-01,TCGA-D8-A27K-01,2.7905176145091857
TCGA-D8-A27L-01,TCGA-D8-A27L-01,2.6838491660833608
TCGA-D8-A27M-01,TCGA-D8-A27M-01,2.9082228624247044
TCGA-D8-A27N-01,TCGA-D8-A27N-01,3.076560296982821
TCGA-D8-A27P-01,TCGA-D8-A27P-01,3.359267234634396
TCGA-D8-A27R-01,TCGA-D8-A27R-01,3.3045318528967793
TCGA-D8-A27T-01,TCGA-D8-A27T-01,2.9956811132159924
TCGA-D8-A27V-01,TCGA-D8-A27V-01,3.1148331636700277
TCGA-D8-A27W-01,TCGA-D8-A27W-01,3.125784364596865
TCGA-D8-A3Z5-01,TCGA-D8-A3Z5-01,3.4068133460095633
TCGA-D8-A3Z6-01,TCGA-D8-A3Z6-01,3.2388483715348473
TCGA-D8-A4Z1-01,TCGA-D8-A4Z1-01,3.3037608484129684
TCGA-D8-A73U-01,TCGA-D8-A73U-01,2.938458239967034
TCGA-D8-A73W-01,TCGA-D8-A73W-01,3.0199844956257706
TCGA-D8-A73X-01,TCGA-D8-A73X-01,3.308968009181299
TCGA-E2-A105-01,TCGA-E2-A105-01,3.3250070233572764
TCGA-E2-A106-01,TCGA-E2-A106-01,3.302891438508324
TCGA-E2-A107-01,TCGA-E2-A107-01,3.191431702198587
TCGA-E2-A108-01,TCGA-E2-A108-01,3.1024762599199094
TCGA-E2-A109-01,TCGA-E2-A109-01,3.256288250494213
TCGA-E2-A10A-01,TCGA-E2-A10A-01,3.135638163308814
TCGA-E2-A10B-01,TCGA-E2-A10B-01,3.2489648425081734
TCGA-E2-A10C-01,TCGA-E2-A10C-01,3.319194958568108
TCGA-E2-A10E-01,TCGA-E2-A10E-01,2.8837090864660375
TCGA-E2-A10F-01,TCGA-E2-A10F-01,3.2838037400996196
TCGA-E2-A14N-01,TCGA-E2-A14N-01,3.1300640020610913
TCGA-E2-A14O-01,TCGA-E2-A14O-01,3.4766206129140476
TCGA-E2-A14P-01,TCGA-E2-A14P-01,3.3881310016905593
TCGA-E2-A14Q-01,TCGA-E2-A14Q-01,3.4233372694384103
TCGA-E2-A14R-01,TCGA-E2-A14R-01,3.381703344342796
TCGA-E2-A14S-01,TCGA-E2-A14S-01,3.3699094867854256
TCGA-E2-A14T-01,TCGA-E2-A14T-01,3.018100987267102
TCGA-E2-A14U-01,TCGA-E2-A14U-01,3.173923940089069
TCGA-E2-A14V-01,TCGA-E2-A14V-01,3.0391621739573744
TCGA-E2-A14W-01,TCGA-E2-A14W-01,3.2456707057219285
TCGA-E2-A14X-01,TCGA-E2-A14X-01,2.8385642461030267
TCGA-E2-A14Y-01,TCGA-E2-A14Y-01,3.063245327030517
TCGA-E2-A14Z-01,TCGA-E2-A14Z-01,3.1942894015649728
TCGA-E2-A150-01,TCGA-E2-A150-01,2.976011171220468
TCGA-E2-A152-01,TCGA-E2-A152-01,3.141917174672114
TCGA-E2-A153-01,TCGA-E2-A153-01,3.117403319327768
TCGA-E2-A153-11,TCGA-E2-A153-11,3.1775886202851136
TCGA-E2-A154-01,TCGA-E2-A154-01,3.0200577968834943
TCGA-E2-A155-01,TCGA-E2-A155-01,3.389114302013855
TCGA-E2-A156-01,TCGA-E2-A156-01,3.326170060538293
TCGA-E2-A158-01,TCGA-E2-A158-01,3.136372867620852
TCGA-E2-A158-11,TCGA-E2-A158-11,3.3014810101160212
TCGA-E2-A159-01,TCGA-E2-A159-01,3.210048979543944
TCGA-E2-A15A-01,TCGA-E2-A15A-01,3.1857574247612064
TCGA-E2-A15A-06,TCGA-E2-A15A-06,3.2351315931333797
TCGA-E2-A15C-01,TCGA-E2-A15C-01,3.321633393371322
TCGA-E2-A15D-01,TCGA-E2-A15D-01,2.3780567661956873
TCGA-E2-A15E-01,TCGA-E2-A15E-01,3.51056669464648
TCGA-E2-A15E-06,TCGA-E2-A15E-06,3.302122027954032
TCGA-E2-A15F-01,TCGA-E2-A15F-01,3.2604285181913135
TCGA-E2-A15G-01,TCGA-E2-A15G-01,3.1604458478519537
TCGA-E2-A15H-01,TCGA-E2-A15H-01,3.108296109456932
TCGA-E2-A15I-01,TCGA-E2-A15I-01,2.8682415630611455
TCGA-E2-A15I-11,TCGA-E2-A15I-11,2.9605948187348337
TCGA-E2-A15J-01,TCGA-E2-A15J-01,3.0672698430672174
TCGA-E2-A15K-01,TCGA-E2-A15K-01,3.440310571841957
TCGA-E2-A15K-06,TCGA-E2-A15K-06,3.3366673480332834
TCGA-E2-A15K-11,TCGA-E2-A15K-11,3.4776029611048416
TCGA-E2-A15L-01,TCGA-E2-A15L-01,3.3056335888056254
TCGA-E2-A15M-01,TCGA-E2-A15M-01,3.276974840295704
TCGA-E2-A15M-11,TCGA-E2-A15M-11,3.4751687775384412
TCGA-E2-A15O-01,TCGA-E2-A15O-01,3.2039005924585817
TCGA-E2-A15P-01,TCGA-E2-A15P-01,3.2118929198719983
TCGA-E2-A15R-01,TCGA-E2-A15R-01,2.807863555539832
TCGA-E2-A15S-01,TCGA-E2-A15S-01,3.0863410943687533
TCGA-E2-A15T-01,TCGA-E2-A15T-01,3.043593790365338
TCGA-E2-A1AZ-01,TCGA-E2-A1AZ-01,3.1111638730430093
TCGA-E2-A1B0-01,TCGA-E2-A1B0-01,3.127229350816618
TCGA-E2-A1B1-01,TCGA-E2-A1B1-01,3.249824371884544
TCGA-E2-A1B4-01,TCGA-E2-A1B4-01,3.17332724804282
TCGA-E2-A1B5-01,TCGA-E2-A1B5-01,2.9846597011494227
TCGA-E2-A1B6-01,TCGA-E2-A1B6-01,2.801520159913347
TCGA-E2-A1BC-01,TCGA-E2-A1BC-01,3.2178922303406776
TCGA-E2-A1BC-11,TCGA-E2-A1BC-11,3.0017972679803693
TCGA-E2-A1BD-01,TCGA-E2-A1BD-01,3.007451328289884
TCGA-E2-A1IE-01,TCGA-E2-A1IE-01,3.1672814762831702
TCGA-E2-A1IF-01,TCGA-E2-A1IF-01,2.968057071065492
TCGA-E2-A1IG-01,TCGA-E2-A1IG-01,3.099115295622996
TCGA-E2-A1IG-11,TCGA-E2-A1IG-11,3.2814536736070434
TCGA-E2-A1IH-01,TCGA-E2-A1IH-01,2.955687743934714
TCGA-E2-A1II-01,TCGA-E2-A1II-01,3.017512293792882
TCGA-E2-A1IJ-01,TCGA-E2-A1IJ-01,3.1859534824861884
TCGA-E2-A1IK-01,TCGA-E2-A1IK-01,3.1183594507331547
TCGA-E2-A1IL-01,TCGA-E2-A1IL-01,3.2618990357170636
TCGA-E2-A1IN-01,TCGA-E2-A1IN-01,3.1959344781295496
TCGA-E2-A1IO-01,TCGA-E2-A1IO-01,3.1880202362859644
TCGA-E2-A1IP-01,TCGA-E2-A1IP-01,2.7295209254202866
TCGA-E2-A1IU-01,TCGA-E2-A1IU-01,3.1268159743735984
TCGA-E2-A1L6-01,TCGA-E2-A1L6-01,3.1348031463393093
TCGA-E2-A1L7-01,TCGA-E2-A1L7-01,3.269808317202445
TCGA-E2-A1L7-11,TCGA-E2-A1L7-11,3.3863751455860394
TCGA-E2-A1L8-01,TCGA-E2-A1L8-01,3.1757897701386915
TCGA-E2-A1L9-01,TCGA-E2-A1L9-01,2.779789067491424
TCGA-E2-A1LA-01,TCGA-E2-A1LA-01,2.9764673310513707
TCGA-E2-A1LB-01,TCGA-E2-A1LB-01,3.3193557294807374
TCGA-E2-A1LB-11,TCGA-E2-A1LB-11,2.976720671958774
TCGA-E2-A1LE-01,TCGA-E2-A1LE-01,3.2361133991371833
TCGA-E2-A1LG-01,TCGA-E2-A1LG-01,3.3678930211773035
TCGA-E2-A1LH-01,TCGA-E2-A1LH-01,2.4407100670524136
TCGA-E2-A1LH-11,TCGA-E2-A1LH-11,3.1630056406852667
TCGA-E2-A1LI-01,TCGA-E2-A1LI-01,2.3953784346388596
TCGA-E2-A1LK-01,TCGA-E2-A1LK-01,2.742044128969072
TCGA-E2-A1LL-01,TCGA-E2-A1LL-01,3.063719951249903
TCGA-E2-A1LS-01,TCGA-E2-A1LS-01,3.109134311300659
TCGA-E2-A1LS-11,TCGA-E2-A1LS-11,3.2869144061838327
TCGA-E2-A2P5-01,TCGA-E2-A2P5-01,2.7131817257765922
TCGA-E2-A2P6-01,TCGA-E2-A2P6-01,3.172899824363276
TCGA-E2-A3DX-01,TCGA-E2-A3DX-01,3.0013650224779758
TCGA-E2-A56Z-01,TCGA-E2-A56Z-01,3.134922943908818
TCGA-E2-A570-01,TCGA-E2-A570-01,2.9790255791822373
TCGA-E2-A572-01,TCGA-E2-A572-01,3.2222818801457227
TCGA-E2-A573-01,TCGA-E2-A573-01,3.1685696670445385
TCGA-E2-A574-01,TCGA-E2-A574-01,2.6969693188410124
TCGA-E2-A576-01,TCGA-E2-A576-01,3.276780555461925
TCGA-E2-A9RU-01,TCGA-E2-A9RU-01,3.36338646201838
TCGA-E9-A1N3-01,TCGA-E9-A1N3-01,3.176852455023797
TCGA-E9-A1N4-01,TCGA-E9-A1N4-01,3.0818653888997996
TCGA-E9-A1N4-11,TCGA-E9-A1N4-11,3.115044298921797
TCGA-E9-A1N5-01,TCGA-E9-A1N5-01,3.37342846438722
TCGA-E9-A1N5-11,TCGA-E9-A1N5-11,3.108422978372798
TCGA-E9-A1N6-01,TCGA-E9-A1N6-01,3.334072471864408
TCGA-E9-A1N6-11,TCGA-E9-A1N6-11,3.3328829105345914
TCGA-E9-A1N8-01,TCGA-E9-A1N8-01,2.4472501584266397
TCGA-E9-A1N9-01,TCGA-E9-A1N9-01,3.169900618533703
TCGA-E9-A1N9-11,TCGA-E9-A1N9-11,3.0313665682557622
TCGA-E9-A1NA-01,TCGA-E9-A1NA-01,3.1047677860248695
TCGA-E9-A1NA-11,TCGA-E9-A1NA-11,3.3131297736283547
TCGA-E9-A1NC-01,TCGA-E9-A1NC-01,2.8498344558110054
TCGA-E9-A1ND-01,TCGA-E9-A1ND-01,2.927779032944505
TCGA-E9-A1ND-11,TCGA-E9-A1ND-11,3.014620492522117
TCGA-E9-A1NE-01,TCGA-E9-A1NE-01,3.368095072171374
TCGA-E9-A1NF-01,TCGA-E9-A1NF-01,3.1707035937763974
TCGA-E9-A1NF-11,TCGA-E9-A1NF-11,3.023447573644088
TCGA-E9-A1NG-01,TCGA-E9-A1NG-01,3.0584721368772434
TCGA-E9-A1NG-11,TCGA-E9-A1NG-11,3.0020869483444237
TCGA-E9-A1NH-01,TCGA-E9-A1NH-01,3.110262851496976
TCGA-E9-A1NI-01,TCGA-E9-A1NI-01,3.018113268597429
TCGA-E9-A1QZ-01,TCGA-E9-A1QZ-01,3.3243448782655123
TCGA-E9-A1R0-01,TCGA-E9-A1R0-01,3.0108416488725527
TCGA-E9-A1R2-01,TCGA-E9-A1R2-01,3.409944742428929
TCGA-E9-A1R3-01,TCGA-E9-A1R3-01,3.158577522927752
TCGA-E9-A1R4-01,TCGA-E9-A1R4-01,2.7758917501569678
TCGA-E9-A1R5-01,TCGA-E9-A1R5-01,3.2866942112955524
TCGA-E9-A1R6-01,TCGA-E9-A1R6-01,3.1803774800449314
TCGA-E9-A1R7-01,TCGA-E9-A1R7-01,3.1496782533431746
TCGA-E9-A1R7-11,TCGA-E9-A1R7-11,3.0610953626025768
TCGA-E9-A1RA-01,TCGA-E9-A1RA-01,3.2153444007574112
TCGA-E9-A1RB-01,TCGA-E9-A1RB-01,3.190085578821316
TCGA-E9-A1RB-11,TCGA-E9-A1RB-11,3.3440392077265635
TCGA-E9-A1RC-01,TCGA-E9-A1RC-01,2.9261178116836697
TCGA-E9-A1RC-11,TCGA-E9-A1RC-11,3.082474993040859
TCGA-E9-A1RD-01,TCGA-E9-A1RD-01,3.2036125278682466
TCGA-E9-A1RD-11,TCGA-E9-A1RD-11,3.007803273652865
TCGA-E9-A1RE-01,TCGA-E9-A1RE-01,3.213674245191085
TCGA-E9-A1RF-01,TCGA-E9-A1RF-01,3.2533892048971973
TCGA-E9-A1RF-11,TCGA-E9-A1RF-11,2.991783496442884
TCGA-E9-A1RG-01,TCGA-E9-A1RG-01,3.120147125269694
TCGA-E9-A1RH-01,TCGA-E9-A1RH-01,2.717945428837841
TCGA-E9-A1RH-11,TCGA-E9-A1RH-11,2.9687451531956124
TCGA-E9-A1RI-01,TCGA-E9-A1RI-01,3.0149311059809154
TCGA-E9-A1RI-11,TCGA-E9-A1RI-11,2.820555703445134
TCGA-E9-A226-01,TCGA-E9-A226-01,3.2749779006354087
TCGA-E9-A227-01,TCGA-E9-A227-01,3.3415174493960507
TCGA-E9-A228-01,TCGA-E9-A228-01,2.7936868577276863
TCGA-E9-A229-01,TCGA-E9-A229-01,3.1220720994901825
TCGA-E9-A22A-01,TCGA-E9-A22A-01,3.0862356673569447
TCGA-E9-A22B-01,TCGA-E9-A22B-01,2.731242775929202
TCGA-E9-A22D-01,TCGA-E9-A22D-01,3.147592755016961
TCGA-E9-A22E-01,TCGA-E9-A22E-01,3.115510071944573
TCGA-E9-A22G-01,TCGA-E9-A22G-01,3.384164136495249
TCGA-E9-A22H-01,TCGA-E9-A22H-01,3.239154971812295
TCGA-E9-A243-01,TCGA-E9-A243-01,2.904798600305721
TCGA-E9-A244-01,TCGA-E9-A244-01,2.877478074895377
TCGA-E9-A245-01,TCGA-E9-A245-01,2.539962560835252
TCGA-E9-A247-01,TCGA-E9-A247-01,2.9825596125668277
TCGA-E9-A248-01,TCGA-E9-A248-01,2.9506297101321364
TCGA-E9-A249-01,TCGA-E9-A249-01,3.2894639110047423
TCGA-E9-A24A-01,TCGA-E9-A24A-01,2.9208926399897273
TCGA-E9-A295-01,TCGA-E9-A295-01,3.0823451589272075
TCGA-E9-A2JS-01,TCGA-E9-A2JS-01,2.941896099911756
TCGA-E9-A2JT-01,TCGA-E9-A2JT-01,3.116413037150494
TCGA-E9-A3HO-01,TCGA-E9-A3HO-01,2.8856146094886896
TCGA-E9-A3Q9-01,TCGA-E9-A3Q9-01,3.4461705806642504
TCGA-E9-A3QA-01,TCGA-E9-A3QA-01,3.0627743572141797
TCGA-E9-A3X8-01,TCGA-E9-A3X8-01,3.1103588764912913
TCGA-E9-A54X-01,TCGA-E9-A54X-01,3.213170098579079
TCGA-E9-A54Y-01,TCGA-E9-A54Y-01,3.1768330784178054
TCGA-E9-A5FK-01,TCGA-E9-A5FK-01,3.1534264438694284
TCGA-E9-A5FL-01,TCGA-E9-A5FL-01,2.772702142175412
TCGA-E9-A5UO-01,TCGA-E9-A5UO-01,3.220618603258811
TCGA-E9-A5UP-01,TCGA-E9-A5UP-01,3.061294772298855
TCGA-E9-A6HE-01,TCGA-E9-A6HE-01,2.9207225533407164
TCGA-EW-A1IW-01,TCGA-EW-A1IW-01,2.839280041686332
TCGA-EW-A1IX-01,TCGA-EW-A1IX-01,3.119898296260464
TCGA-EW-A1IY-01,TCGA-EW-A1IY-01,2.892813771330219
TCGA-EW-A1IZ-01,TCGA-EW-A1IZ-01,3.030138891859546
TCGA-EW-A1J1-01,TCGA-EW-A1J1-01,3.301623484132512
TCGA-EW-A1J2-01,TCGA-EW-A1J2-01,3.1319375219586214
TCGA-EW-A1J3-01,TCGA-EW-A1J3-01,3.1440957820153344
TCGA-EW-A1J5-01,TCGA-EW-A1J5-01,3.3237144107244108
TCGA-EW-A1J6-01,TCGA-EW-A1J6-01,3.1277920741357885
TCGA-EW-A1OV-01,TCGA-EW-A1OV-01,2.73141420000402
TCGA-EW-A1OW-01,TCGA-EW-A1OW-01,2.8089171253135388
TCGA-EW-A1OX-01,TCGA-EW-A1OX-01,3.0501191458673906
TCGA-EW-A1OY-01,TCGA-EW-A1OY-01,3.159375976284143
TCGA-EW-A1OZ-01,TCGA-EW-A1OZ-01,3.1979833530828126
TCGA-EW-A1P0-01,TCGA-EW-A1P0-01,3.301862953104873
TCGA-EW-A1P1-01,TCGA-EW-A1P1-01,3.146749757046913
TCGA-EW-A1P3-01,TCGA-EW-A1P3-01,3.2624688186614987
TCGA-EW-A1P4-01,TCGA-EW-A1P4-01,3.013019557866557
TCGA-EW-A1P5-01,TCGA-EW-A1P5-01,3.365573158095547
TCGA-EW-A1P6-01,TCGA-EW-A1P6-01,3.1591054653988966
TCGA-EW-A1P7-01,TCGA-EW-A1P7-01,3.2020392681610126
TCGA-EW-A1P8-01,TCGA-EW-A1P8-01,2.758514701610873
TCGA-EW-A1PA-01,TCGA-EW-A1PA-01,2.8678549133453823
TCGA-EW-A1PB-01,TCGA-EW-A1PB-01,3.005955533839431
TCGA-EW-A1PC-01,TCGA-EW-A1PC-01,3.1597844846844994
TCGA-EW-A1PD-01,TCGA-EW-A1PD-01,3.0596808668889963
TCGA-EW-A1PE-01,TCGA-EW-A1PE-01,3.0990049201301764
TCGA-EW-A1PF-01,TCGA-EW-A1PF-01,2.852306179924626
TCGA-EW-A1PG-01,TCGA-EW-A1PG-01,3.4667904887778627
TCGA-EW-A1PH-01,TCGA-EW-A1PH-01,2.2553292620645258
TCGA-EW-A2FR-01,TCGA-EW-A2FR-01,3.0982299668587543
TCGA-EW-A2FS-01,TCGA-EW-A2FS-01,2.7079812428567385
TCGA-EW-A2FV-01,TCGA-EW-A2FV-01,3.416950112415905
TCGA-EW-A2FW-01,TCGA-EW-A2FW-01,3.1184462603024783
TCGA-EW-A3E8-01,TCGA-EW-A3E8-01,3.182712292739405
TCGA-EW-A3U0-01,TCGA-EW-A3U0-01,2.3850711260309363
TCGA-EW-A423-01,TCGA-EW-A423-01,3.2666292429660846
TCGA-EW-A424-01,TCGA-EW-A424-01,3.3855788259018107
TCGA-EW-A6S9-01,TCGA-EW-A6S9-01,3.3772136720855714
TCGA-EW-A6SA-01,TCGA-EW-A6SA-01,3.004724132515952
TCGA-EW-A6SB-01,TCGA-EW-A6SB-01,2.6277301503411126
TCGA-EW-A6SC-01,TCGA-EW-A6SC-01,2.7981352472563668
TCGA-EW-A6SD-01,TCGA-EW-A6SD-01,2.872616577123733
TCGA-GI-A2C8-01,TCGA-GI-A2C8-01,3.0405817694948616
TCGA-GI-A2C8-11,TCGA-GI-A2C8-11,3.2051494412792634
TCGA-GI-A2C9-01,TCGA-GI-A2C9-01,2.41666248411493
TCGA-GI-A2C9-11,TCGA-GI-A2C9-11,3.3541235356347143
TCGA-GM-A2D9-01,TCGA-GM-A2D9-01,2.85736348112497
TCGA-GM-A2DA-01,TCGA-GM-A2DA-01,3.059795630794392
TCGA-GM-A2DB-01,TCGA-GM-A2DB-01,3.161007237617586
TCGA-GM-A2DC-01,TCGA-GM-A2DC-01,2.831813050733236
TCGA-GM-A2DD-01,TCGA-GM-A2DD-01,2.9568192582239945
TCGA-GM-A2DF-01,TCGA-GM-A2DF-01,2.7186340879566577
TCGA-GM-A2DH-01,TCGA-GM-A2DH-01,3.1541723972823568
TCGA-GM-A2DI-01,TCGA-GM-A2DI-01,3.2544474695803807
TCGA-GM-A2DK-01,TCGA-GM-A2DK-01,2.9518265993448374
TCGA-GM-A2DL-01,TCGA-GM-A2DL-01,3.111387104704272
TCGA-GM-A2DM-01,TCGA-GM-A2DM-01,3.0630248632744745
TCGA-GM-A2DN-01,TCGA-GM-A2DN-01,3.3119428330394354
TCGA-GM-A2DO-01,TCGA-GM-A2DO-01,3.1366270121843742
TCGA-GM-A3NW-01,TCGA-GM-A3NW-01,3.005999582870741
TCGA-GM-A3NY-01,TCGA-GM-A3NY-01,2.917762900814475
TCGA-GM-A3XG-01,TCGA-GM-A3XG-01,3.3002510153272917
TCGA-GM-A3XL-01,TCGA-GM-A3XL-01,3.017831041959589
TCGA-GM-A3XN-01,TCGA-GM-A3XN-01,3.2297538982013956
TCGA-GM-A4E0-01,TCGA-GM-A4E0-01,2.621750361148141
TCGA-GM-A5PV-01,TCGA-GM-A5PV-01,3.1458109529099314
TCGA-GM-A5PX-01,TCGA-GM-A5PX-01,3.2501846030966406
TCGA-HN-A2NL-01,TCGA-HN-A2NL-01,3.148584969018497
TCGA-HN-A2OB-01,TCGA-HN-A2OB-01,3.1403984824264
TCGA-JL-A3YW-01,TCGA-JL-A3YW-01,3.1893637405411823
TCGA-JL-A3YX-01,TCGA-JL-A3YX-01,3.125889999406707
TCGA-LD-A66U-01,TCGA-LD-A66U-01,3.0610504346385263
TCGA-LD-A74U-01,TCGA-LD-A74U-01,3.375591757463828
TCGA-LD-A7W5-01,TCGA-LD-A7W5-01,3.0369539644899666
TCGA-LD-A7W6-01,TCGA-LD-A7W6-01,2.963625229077046
TCGA-LD-A9QF-01,TCGA-LD-A9QF-01,3.1812025918903943
TCGA-LL-A440-01,TCGA-LL-A440-01,3.0736661514127053
TCGA-LL-A441-01,TCGA-LL-A441-01,2.3692980149280274
TCGA-LL-A442-01,TCGA-LL-A442-01,3.4427874616834293
TCGA-LL-A50Y-01,TCGA-LL-A50Y-01,3.268061263878513
TCGA-LL-A5YL-01,TCGA-LL-A5YL-01,2.608828913613664
TCGA-LL-A5YM-01,TCGA-LL-A5YM-01,3.4538128880378345
TCGA-LL-A5YN-01,TCGA-LL-A5YN-01,2.9664489436998065
TCGA-LL-A5YO-01,TCGA-LL-A5YO-01,3.2468705417245793
TCGA-LL-A5YP-01,TCGA-LL-A5YP-01,3.0546588686032417
TCGA-LL-A6FP-01,TCGA-LL-A6FP-01,3.163085430022207
TCGA-LL-A6FQ-01,TCGA-LL-A6FQ-01,3.327452642386548
TCGA-LL-A6FR-01,TCGA-LL-A6FR-01,2.8270865716704288
TCGA-LL-A73Y-01,TCGA-LL-A73Y-01,2.2628896655545234
TCGA-LL-A73Z-01,TCGA-LL-A73Z-01,3.033151210777967
TCGA-LL-A740-01,TCGA-LL-A740-01,2.9067976821431927
TCGA-LL-A7SZ-01,TCGA-LL-A7SZ-01,3.0913774441127715
TCGA-LL-A7T0-01,TCGA-LL-A7T0-01,2.9981199387426085
TCGA-LL-A8F5-01,TCGA-LL-A8F5-01,3.3705877942845235
TCGA-LL-A9Q3-01,TCGA-LL-A9Q3-01,3.0848489592700337
TCGA-LQ-A4E4-01,TCGA-LQ-A4E4-01,3.2968685485424767
TCGA-MS-A51U-01,TCGA-MS-A51U-01,2.8982348322937725
TCGA-OK-A5Q2-01,TCGA-OK-A5Q2-01,3.1215769483637037
TCGA-OL-A5D6-01,TCGA-OL-A5D6-01,3.1680325261299314
TCGA-OL-A5D7-01,TCGA-OL-A5D7-01,3.285147916098188
TCGA-OL-A5D8-01,TCGA-OL-A5D8-01,2.97207450814795
TCGA-OL-A5DA-01,TCGA-OL-A5DA-01,2.915230132828582
TCGA-OL-A5RU-01,TCGA-OL-A5RU-01,3.110167977232445
TCGA-OL-A5RV-01,TCGA-OL-A5RV-01,3.1443236667734706
TCGA-OL-A5RW-01,TCGA-OL-A5RW-01,3.2284355269229232
TCGA-OL-A5RX-01,TCGA-OL-A5RX-01,3.2016373052054607
TCGA-OL-A5RY-01,TCGA-OL-A5RY-01,3.0367671508749887
TCGA-OL-A5RZ-01,TCGA-OL-A5RZ-01,2.993450394822765
TCGA-OL-A5S0-01,TCGA-OL-A5S0-01,2.721272353426135
TCGA-OL-A66H-01,TCGA-OL-A66H-01,3.215619573808362
TCGA-OL-A66I-01,TCGA-OL-A66I-01,2.9206695831970273
TCGA-OL-A66J-01,TCGA-OL-A66J-01,2.9995532871637636
TCGA-OL-A66K-01,TCGA-OL-A66K-01,3.124014382397051
TCGA-OL-A66L-01,TCGA-OL-A66L-01,2.791259834966081
TCGA-OL-A66N-01,TCGA-OL-A66N-01,3.3048030707140676
TCGA-OL-A66O-01,TCGA-OL-A66O-01,3.261156645650372
