gene,d_expr,fdr_expr,dnetith_expr,is_tf,d_ceres,fdr_ceres,dnetith_ceres,concordant,both_sig
EPC1,-0.7526415572788382,8.574474078858926e-15,-0.1561865318854938,False,-0.10880837475761702,0.9636830005360993,-0.0276181339551842,True,False
MTRF1,-0.7516962083834298,8.06527444841328e-16,-0.16566021090431704,False,-0.18832561902924205,0.8010421126633535,-0.048171021282573,True,False
ADAT2,-0.7513008326882782,3.380433593491317e-16,-0.16605476131731667,False,-0.1746439203054175,0.5567793208298286,-0.03648264125616496,True,False
CLASRP,-0.7511620370505254,8.152712555551345e-15,-0.15670530942138505,False,-0.23132221899420982,0.6939301721462829,-0.04758786622352851,True,False
CTNNA1,0.7509094850274218,3.749318082803033e-15,0.15420794406638194,False,0.22668784725395758,0.5086617967923921,0.053394806312266674,True,False
SWI5,0.7508339456381422,5.721446125004846e-14,0.16205620919411956,False,0.2598830713481905,0.7823733360290571,0.06325932034641202,True,False
MOK,0.7496039925743746,9.086212592554612e-15,0.14789037428257323,False,-0.01162167590239916,0.9043560072638791,-0.002620381248669368,False,False
LGALS9,-0.7494523663595896,2.3507567438357334e-14,-0.16697707575674325,False,0.04067037876270289,0.9647426162448133,0.009686457692471784,False,False
SHLD1,-0.7469718454776805,1.4003981991155555e-14,-0.15864105131268413,False,-0.18882039998070643,0.7000891068626313,-0.04843702707861919,True,False
PPARGC1B,-0.745014640355479,1.2953377241424781e-14,-0.1554183368942761,False,0.06510573137161114,0.956335952559856,0.015617756272667371,False,False
BCL2,-0.7446873912010279,1.9352498178058972e-14,-0.162631121082482,False,-1.0711307716412808,0.0032349928617600473,-0.2333919605206809,True,True
RBM33,-0.7443144813294352,7.558605057018724e-15,-0.15087034738584482,False,-0.229564124860247,0.5395619022701933,-0.05205005146265318,True,False
CTTN,0.7409635527484428,1.6446687286652213e-14,0.15371251312065048,False,0.21756126435456716,0.6817465648609106,0.05348363165008596,True,False
SPI1,-0.736468076679369,1.0708680876342591e-15,-0.15761729163415072,True,-0.952079551010425,0.019822977282459818,-0.20210563624257016,True,True
HIC2,-0.73047285162383,6.997204738646477e-14,-0.15682271324774177,False,-0.2331771800877322,0.8517690818410698,-0.04350827989742001,True,False
CCND1,0.7294717830874339,4.136448628906885e-13,0.15338293704232875,False,0.34753702904762135,0.5856078416906805,0.07917624218400565,True,False
NCKAP1,0.7289367299503149,6.11203513454031e-14,0.14840799483488265,False,0.8049778111863021,0.0031021368875918253,0.17168390013907509,True,True
ITGB1,0.7282986368024179,5.307489809971491e-16,0.15997990757051817,True,0.011832089535563176,0.9625550458580404,0.0025811291330226638,True,False
P3H4,0.7268206803357776,4.6167589489447227e-14,0.1567927559598239,False,-0.1729145374643419,0.782582950039966,-0.046615568682310204,False,False
LMNA,0.7257519266356757,3.139043637517215e-14,0.15390222605897108,False,0.240505546256555,0.4609291332278328,0.05429654840608933,True,False
DYNC1LI2,0.7244814044045498,6.992578375780334e-15,0.15816709609107527,False,0.010658318721882555,0.9548094454962953,0.002188245301583791,True,False
TAX1BP1,0.723755506380271,4.6754924548054254e-14,0.15418444622439242,False,0.10196708104030879,0.8951748636193857,0.021175411618445494,True,False
FBXO41,-0.7233420485484171,1.4947551039979743e-14,-0.15078214641647403,False,0.6338757812570879,0.4667905199714911,0.1665589477627334,False,False
IQCB1,-0.7230438815672392,1.674316930658591e-15,-0.1615063451911265,False,-0.19176125620972548,0.9162500381206772,-0.03896599282218016,True,False
KMT2D,-0.7200170085299431,4.8424797674562664e-14,-0.1553904736595122,False,0.17545384775725983,0.759098848292241,0.03902055405329374,False,False
PSD4,-0.718522327623493,3.833612414814394e-15,-0.15478957277041427,False,-0.17766825302487188,0.9075175057539666,-0.04673079109058609,True,False
TOR2A,-0.7171917339021465,7.298047009353542e-15,-0.15551535723356924,False,-0.010857330072485233,0.969061878441121,-0.002321297911479725,True,False
FAM117A,-0.7147710889190042,1.4676695536193977e-13,-0.1503507074863668,False,-0.16837043530155937,0.6779742595551113,-0.04332961898801191,True,False
HSBP1,0.7122253136539387,2.0490844299662652e-13,0.14861260838886015,False,-0.13330898853360706,0.8544448780232391,-0.028562361228660293,False,False
MXRA7,0.7093842675228638,7.521834651500478e-15,0.1472919657099192,False,-0.17868085094106775,0.8010421126633535,-0.03130963775084261,False,False
ARHGAP29,0.7087364746175046,3.54581913275656e-13,0.1484997249145401,False,0.2232293659992139,0.7190536338039051,0.05496203769577512,True,False
ATXN7L3,-0.7066363905133912,1.1398873882127179e-12,-0.15035099659394024,False,0.06787040467281355,0.9585209435924174,0.015278981742731013,False,False
YIPF5,0.7056843367123895,2.9122135719123437e-13,0.1476829067230785,False,0.03569727935916473,0.9351329819025848,0.007553483333547106,True,False
MRPS31,-0.7047390599988198,6.005865148603611e-14,-0.14887834746251105,False,0.5210571078305466,0.564079698426595,0.10832948156682143,False,False
OBSL1,0.7020940790874379,2.49667388552561e-14,0.14282596225699873,False,0.029801158175818146,0.9997031687217337,0.00629338619369868,True,False
NAF1,-0.7016867442757282,5.884648989590001e-14,-0.15015485098994574,False,-0.17818686664352895,0.7828937475462114,-0.03831684358495124,True,False
BTAF1,-0.7001090343353331,3.921792691680323e-15,-0.14481370800525095,False,-0.3545799231547714,0.40793096842916204,-0.07712110772863756,True,False
ZBTB41,0.6992038619260473,3.082197823141463e-13,0.15385626686170362,False,0.21149991620830372,0.7823733360290571,0.0411721186200209,True,False
LTBP3,0.6981854575496295,2.7363273915517084e-12,0.14766436561042084,False,-0.2113723674713896,0.8063820522292373,-0.04106771292467837,False,False
RPS6KA1,-0.6974509981262728,5.884648989590001e-14,-0.15000530108868304,False,-0.5441721412662707,0.2757652809942196,-0.14267914262632164,True,False
ANKRD49,-0.6971427191150216,8.325718556651254e-13,-0.14823000232712236,False,-0.026161559307429118,0.9424929380614395,-0.005945063206936219,True,False
RMND5A,-0.6970009039867641,5.847477988601342e-15,-0.145808800920725,False,0.8690352343112432,0.022807845944915143,0.16536498186313242,False,True
TEPSIN,-0.6967788088546994,1.0953889233643598e-13,-0.1516347888644587,False,-0.2589514591873296,0.6608982247139682,-0.06113377441860646,True,False
PNRC2,-0.6955590708434597,6.909338497441705e-14,-0.1474133924678407,False,-0.1671886316773185,0.9436264917372076,-0.038874198300375085,True,False
MITF,0.6952748796752491,9.009120503080768e-14,0.1482814054201702,False,0.6170111138334713,0.24776964074403826,0.13306897180932786,True,False
CD27,-0.6925650445647664,7.615890137161846e-15,-0.1387130082441841,False,0.15119152419245532,0.9394891248969472,0.03698292736980324,False,False
FBXW7,-0.6913334560351022,1.4423098386037875e-13,-0.1430264021393297,False,0.19144411985804413,0.8303994039816182,0.047265591814792174,False,False
CCL4,-0.6902891777572393,4.1886366392047494e-13,-0.14940427769328668,False,-0.23082392697987517,0.7125405366618226,-0.05648637466567319,True,False
RPIA,-0.6897534061515493,2.6385813419204877e-14,-0.1487397093658247,False,-0.07888669122935464,0.8517690818410698,-0.01750192465734468,True,False
IL12RB2,-0.6882688400439682,5.282593418723122e-13,-0.14656615035384668,False,0.09725151346044139,0.9548094454962953,0.02229506383679425,False,False
CCDC28A,-0.6841528039450614,6.005865148603611e-14,-0.14886680980767597,False,-0.29527336357196954,0.5929489163436951,-0.06686253173814638,True,False
CPNE5,-0.6836375159194895,9.700497881718871e-13,-0.14700216164537316,False,-0.43038163920206246,0.6827479761130073,-0.07955991609184032,True,False
HAO2,-0.6829649542136879,5.322216332245319e-12,-0.15166890222851936,False,0.15162715935245782,0.8847428439185684,0.03552063315224352,False,False
RCC2,-0.6827955460041003,1.3032960950945333e-12,-0.1420294591007334,False,-0.2246505690817516,0.92790704805153,-0.0545048701085058,True,False
BCAR3,0.6827740933471275,4.0436451087678896e-12,0.1432412366171798,False,0.09080684971469129,0.969061878441121,0.01953049565804843,True,False
ZBTB39,-0.681562632032348,5.658997749805029e-13,-0.1422310290143658,False,0.1144453961818957,0.9015108566114233,0.022987900938956862,False,False
FLOT1,0.6802070485608175,2.0651625208611168e-13,0.1466026639877951,False,0.32776617222106313,0.6481744093516577,0.08024491472733519,True,False
MPHOSPH8,-0.6799107602122597,6.01446314881068e-13,-0.14369745123100852,False,-0.37023853170887466,0.20118476955979037,-0.09002726668280925,True,False
TRNP1,0.6779400965245028,2.558198613152901e-12,0.13889977101403428,False,0.3178954822914446,0.44206216078679605,0.08204561730029347,True,False
DAZAP1,-0.677754585666382,8.430408057757226e-13,-0.14080502157281582,False,0.10127913349870402,0.9436264917372076,0.021760357923636064,False,False
HYI,0.6756293363413055,3.2952576903648945e-12,0.1334390658620599,False,-0.45519881447288474,0.6116848261127036,-0.09871132476366729,False,False
TAX1BP3,0.6717849630513395,1.1130416941795614e-12,0.14108082481690687,False,-0.3479425060897872,0.774386785492935,-0.07732332301945632,False,False
JKAMP,0.6667935526748667,6.293258235717946e-13,0.14370184645445416,False,0.09542089949299111,0.8847428439185684,0.02098253450285803,True,False
CDC25A,-0.6663691708825459,3.8117035016644235e-12,-0.14301139392793516,False,-0.20861412266921417,0.9162500381206772,-0.053697182122942166,True,False
