cell_line,NetITH
NCI-H2347,5.768843404335853
NCI-H2170,5.693435254361873
NCI-H510A,5.945151305728097
NCI-H810,5.5176539939652125
NCI-SNU-1,5.385244116593697
NUGC-3,5.724553104036959
NB7,5.3684505580287665
NMC-G1,5.975619027429437
OCI-M1,5.43590723424106
NCI-H1666,5.676207644026412
SW1710,5.7547750496185515
NCI-H1650,5.7299223309960405
NCI-H2405,5.858995223864428
NCI-H2029,5.643656362251162
NCI-H322M,5.766003190871518
NCI-H740,5.951337726168393
NCI-SNU-16,6.118132710511662
NU-DUL-1,5.4877242312490235
NBsusSR,5.551020692361388
OVK-18,5.921239941073162
OCI-LY-19,5.291149591226937
NCI-H196,5.93705314909997
SCH,5.5240384765140185
NCI-H1838,5.75239316522054
NCI-H2023,5.743146168189389
NCI-H211,5.386879192850963
NCI-H650,5.9160214967168825
NCI-H841,5.844022349378938
NALM-6,5.611596423212347
NB14,5.828318921281727
no-11,5.766862567342221
OACM5-1,5.686042579770609
OCI-AML5,5.739561320669396
SNU-423,6.120165782829977
NCI-H1703,5.887606053010984
NCI-H2227,5.6602763263177
NCI-H209,5.684211498758802
NCI-H2291,6.1423439815038945
NCI-H3122,5.739544457804872
NCI-H747,5.705407587560654
NCI-SNU-5,5.587216258033092
NCC021,5.887093269639366
NY,5.597302939818007
OVCAR-4,5.832630778393366
OACp4C,5.289008418355588
SN12C,5.4518215018624145
SCC-25,5.347083497741969
NCI-H1693,5.845443956786356
NCI-H2444,5.499667894071994
NCI-H520,5.623241595226929
NCI-H526,5.577309393272498
NCI-H929,5.514113191588458
NAMALWA,5.483665343525976
NKM-1,5.5191458231104225
NB13,5.6730054057796515
OVCAR-3,5.773706591876181
NCI-H1694,5.760143375263789
SW1116,5.478228060271126
SNU-C2B,5.992536568966466
NCI-H2135,5.523425985249557
NCI-H2085,5.930486253966233
NCI-H378,5.9060229355792195
NCI-H64,5.805068925791649
NCI-H69,5.349316230795949
NB10,5.857212221389944
NOMO-1,5.3518325703908225
NB17,5.544773769999689
OCUM-1,5.651977042917966
SW1463,5.640354937924079
SW13,6.346254007534372
SNU-398,5.864414802641883
NCI-H2126,5.440909293677521
NCI-H2342,5.694292323912321
NCI-H630,5.7743772544377014
NCI-H596,5.751628935175204
NCI-H82,5.604772510175669
NB12,5.346137970089883
NH-12,5.707847092596718
NB5,5.785301473943921
