tf_a,tf_b,n,beta_a,beta_b,beta_interaction,p_interaction
CCL19,FCRL6,572,-0.06870653298736883,0.13197222997441768,0.02202189648729429,0.6003996003996004
BLNK,TEAD2,572,0.1500649727177312,0.07527274673521532,0.021850848115372856,0.6143856143856143
SELP,CCL22,572,-0.09454371228759317,0.08688661150281446,0.01939439856860592,0.6183816183816184
HMGB1,TEAD2,572,0.18468857067925523,0.08962194054468159,0.01975343868774368,0.6183816183816184
KLF6,FCRL6,572,0.09532793585919383,0.13621745297061663,0.021971436701659547,0.6193806193806194
HMGB1,JUN,572,0.1583270576024162,-0.1170018622669749,0.01930719216538207,0.6353646353646354
FCRL6,TEAD2,572,0.1343617664074131,0.07642871256036943,-0.017273458197182456,0.6423576423576424
HMGB1,FCRL6,572,0.1671808080658802,0.11263594864206355,-0.018297287041144195,0.6443556443556444
JUN,TEAD2,572,-0.143831532239963,0.08541422217688101,-0.01808349205009835,0.6493506493506493
CD4,SLC7A11,572,0.09196994776907921,0.12421224620790743,-0.01881557958559052,0.6523476523476524
KLF6,ANXA1,572,0.09515149951422162,-0.06576288762933093,-0.019724706171284467,0.6553446553446554
HMGB1,TPI1,572,0.16742998625620284,0.11879765845655625,-0.017440445260510612,0.6553446553446554
CCL22,GZMB,572,0.07931426746596588,-0.053142098279883594,0.019838132158186417,0.6583416583416584
JUN,SLC7A11,572,-0.1359273059735322,0.11925928703747216,0.01796374565341098,0.6733266733266733
CD4,GZMB,572,0.10409149265828947,-0.05567141320386057,0.017178865337371934,0.6793206793206793
SERPINA3,ANXA1,572,0.0906426602792268,-0.06883125188092007,0.01729392706983615,0.6893106893106893
CDC42,CD4,572,-0.1336002416005511,0.09122738492447721,-0.01505422806603766,0.7002997002997003
CCL22,KLF6,572,0.08026745848311902,0.0923293738605824,0.016834055675689394,0.7032967032967034
HMGB1,CDC42,572,0.16481742891311907,-0.1166256708276154,0.015283173483062046,0.7092907092907093
KLF6,SLC7A11,572,0.0864374111405202,0.12000178156711183,0.01784418906853319,0.7132867132867133
CCL19,BLNK,572,-0.05697339424987594,0.15081358325962166,-0.015459697595120815,0.7142857142857143
SELP,SLC7A11,572,-0.0776358301050165,0.12342959833795725,0.015248414392202252,0.7212787212787213
NNAT,JUN,572,-0.1518085770157391,-0.1408560982083357,0.014850520073334539,0.7232767232767233
JUN,CD4,572,-0.13096098811200427,0.09037739875284526,-0.012664707645230117,0.7422577422577422
TPI1,SLC7A11,572,0.10445878487883331,0.09751441021035447,-0.01402210484786326,0.7422577422577422
NNAT,TEAD2,572,-0.14820206883329917,0.07086265604774196,-0.013257114418111948,0.7492507492507493
CDC42,IRF2,572,-0.14308907902828383,0.11776346869548533,0.014407370854499335,0.7512487512487512
CCL19,CD4,572,-0.07200965459123579,0.1017602284521685,0.013590953402137942,0.7532467532467533
NPM1,SLC7A11,317,0.10869872738307357,0.021439459608640597,0.017133269626308248,0.7552447552447552
KLF6,CD4,572,0.0830311404231877,0.08636295810088841,-0.014132335368320249,0.7582417582417582
SELP,KLF6,572,-0.08950392884517333,0.10232010567893642,0.01271553529355944,0.7622377622377622
NNAT,BLNK,572,-0.14495329871835808,0.14192433028842716,0.013055955874444677,0.7842157842157842
NNAT,CCL22,572,-0.1576195589171133,0.0866280507559101,0.011665405660853834,0.7892107892107892
HMGB1,BLNK,572,0.1730974351804411,0.14639253140048755,-0.010702326231397802,0.7972027972027972
HMGB1,CCL22,572,0.1822570405583347,0.08530567360739112,-0.009875639756235927,0.8021978021978022
BLNK,JUN,572,0.13945955457298914,-0.12739416761444214,0.010936037570129925,0.8151848151848152
BLNK,SERPINA3,572,0.14810366818676915,0.08577730723022639,-0.00999354782169043,0.8161838161838162
JUN,TPI1,572,-0.1383908110176328,0.13472635062597352,0.008837643808686402,0.8201798201798202
HMGB1,CCL19,572,0.18343503314435472,-0.0770538633231877,-0.008681203968673258,0.8341658341658341
KLF6,TEAD2,572,0.08559261122185406,0.07142472978556057,-0.00938412183148643,0.8341658341658341
SERPINA3,IRF2,572,0.08500748037869488,0.1067138246874539,0.007831238928902293,0.8371628371628371
HMGB1,KLF6,572,0.18309002426025853,0.10206210766637593,0.007751402072388419,0.8391608391608392
KLF6,GZMB,572,0.0910373914212342,-0.04902683183985428,-0.009176082483935838,0.8431568431568431
MCL1,TEAD2,572,0.0797798247082241,0.07997790236252748,-0.008743242510698232,0.8461538461538461
JUN,ANXA1,572,-0.13545911273057537,-0.0595322747261093,0.007352750064569036,0.8461538461538461
NNAT,CDC42,572,-0.14811125606472061,-0.13428432141125599,-0.008402379270351645,0.8481518481518482
CCL22,SLC7A11,572,0.06938958071575929,0.12234802394021771,-0.007837961397082668,0.8511488511488512
FCRL6,SERPINA3,572,0.12981432510097018,0.08927058723020119,0.007102159188405149,0.8551448551448552
CCL19,NPM1,317,-0.05192401663227118,0.09753687457374724,0.009543683070753933,0.8681318681318682
GZMB,TPI1,572,-0.0431045897384113,0.1315464839640245,0.005642373733353358,0.8751248751248751
CCL19,CCL22,572,-0.06407997622190217,0.07889611746162967,-0.00643578530082696,0.8811188811188811
SELP,FCRL6,572,-0.0757836535944074,0.12872652347117047,0.005244314076567197,0.8891108891108891
KLF6,SERPINA3,572,0.0933532823785798,0.09073636672048865,0.005828246341423121,0.8891108891108891
