drug,pathway,eri,eri_weighted,slope,r_squared,ic50_range,netith_range
GDC0810,Hormone-related,0.30058575227344786,0.012598032096542084,0.8588830126640815,0.04191160759037389,2.8573643500000006,0.7231252053480635
NVP-ADW742,IGF1R signaling,0.28857235934315123,0.012547139721112086,1.360673979195626,0.04348004690980072,4.7151916499999995,0.7231252053480635
BMS-754807,IGF1R signaling,0.28729286267989174,0.012361291720733816,1.844614675672939,0.043026797134556906,6.420676999999999,0.7231252053480635
GSK591,Chromatin histone methylation,0.29294989214462885,0.012299329050739369,1.0955933999253424,0.04198441228531742,3.7398661999999985,0.7231252053480635
Dacarbazine,Other,0.28258142149654564,0.012231879044256027,0.8534720486126612,0.04328621103070484,3.0202695000000004,0.7231252053480635
615590,Unclassified,0.2804961954203528,0.012175881932378488,0.7412183490512655,0.0434083674972192,2.6425254999999996,0.7231252053480635
AGI-5198,Metabolism,0.28821129707252346,0.012126099002438275,0.8307623052566324,0.042073642239592535,2.8824765499999994,0.7231252053480635
PD173074,RTK signaling,0.2869520084869264,0.011951802220841403,1.251889487363631,0.04165087494547343,4.3627138,0.7231252053480635
ZM447439,Mitosis,0.27167168561454164,0.011780904220342071,1.5788139562539036,0.04336449046463118,5.81147775,0.7231252053480635
GSK2578215A,"Other, kinases",0.2827063141631805,0.011751949930176695,0.867050116381796,0.04156946393278422,3.0669640999999994,0.7231252053480635
BDP-00009066,Cytoskeleton,0.2755325811428383,0.011697360782580749,1.1005759350680937,0.04245363918148302,3.994358599999999,0.7231252053480635
THR-102,PI3K/MTOR signaling,0.27752974902899213,0.011550727573084578,0.8792273998339509,0.04161978171168213,3.1680473999999994,0.7231252053480635
Gallibiscoquinazole,Unclassified,0.2740317299699119,0.011372987373618961,0.8038979758652188,0.04150244708839992,2.9335945000000008,0.7231252053480635
Fludarabine,DNA replication,0.2691684562866601,0.011063822108101067,1.7439506379191874,0.04110370977614953,6.4790304999999995,0.7231252053480635
CDK9_5038,Cell cycle,0.27152758203169575,0.010944570866996984,1.7089841474955842,0.040307400025826515,6.293961499999998,0.7231252053480635
5-azacytidine,Other,0.27547753790561463,0.010882169379423736,1.2178590880909925,0.03950292812313516,4.4209016000000005,0.7231252053480635
