gene,mean_high,mean_low,delta,cohens_d,p_value,n_high,n_low,fdr,neg_log10_p
MARVELD2,-0.04845512697319072,-0.03901027247919702,-0.009444854493993696,-0.07419359201034163,0.5213517155046383,302,303,0.8865119102825262,0.2828691930773774
EIF4A1,-1.6568210650849184,-1.6266037512350646,-0.030217313849853822,-0.05103766667086698,0.5216539467758184,302,303,0.8865351932530272,0.28261750244567196
EPB41L3,0.08610076789820797,0.07733113775324535,0.008769630144962626,0.0738607721600086,0.5216539467758184,302,303,0.8865351932530272,0.28261750244567196
ASB14,0.04401011695605182,0.05542899174023121,-0.011418874784179384,-0.09785921164584904,0.5216539467758184,302,303,0.8865351932530272,0.28261750244567196
SERPINB5,0.011097479935222908,0.008418828262581817,0.002678651672641091,0.02385410682911567,0.5216539467758184,302,303,0.8865351932530272,0.28261750244567196
CTSO,-0.07753545690465093,-0.06487661033222925,-0.012658846572421681,-0.07465477677067861,0.5216539467758184,302,303,0.8865351932530272,0.28261750244567196
VRTN,-0.07950383305206678,-0.07146173845100373,-0.008042094601063046,-0.06731013592610692,0.5216539467758184,302,303,0.8865351932530272,0.28261750244567196
IGSF5,0.10653999829319015,0.11492179261986064,-0.008381794326670494,-0.07783001714544119,0.5216539467758184,302,303,0.8865351932530272,0.28261750244567196
PHTF1,-0.12406352065718648,-0.11801314215534925,-0.006050378501837234,-0.04781367273612261,0.5216539467758184,302,303,0.8865351932530272,0.28261750244567196
SLC17A3,0.018012030912295255,0.022268519483603103,-0.0042564885713078475,-0.046105693808695974,0.5219562681532203,302,303,0.8865586035292409,0.28236588262102563
RHOU,0.061007081091376605,0.06960829768990508,-0.008601216598528472,-0.055998402342432474,0.5219562681532203,302,303,0.8865586035292409,0.28236588262102563
POLR1G,-0.43336255094447856,-0.4398323596382307,0.006469808693752133,0.030716127700646342,0.5219562681532203,302,303,0.8865586035292409,0.28236588262102563
EXOSC6,-1.5015396068897082,-1.535464967905246,0.03392536101553767,0.08497444707721785,0.5219562681532203,302,303,0.8865586035292409,0.28236588262102563
FUBP3,0.08322132608556579,0.09522283363864191,-0.012001507553076121,-0.09237911810439281,0.5222586795982658,302,303,0.8867046194873853,0.2821143335969435
RP9,-0.0745327940923371,-0.07883108680758764,0.0042982927152505485,0.03148327048997564,0.5222586795982658,302,303,0.8867046194873853,0.2821143335969435
TRAF1,0.016640681788932004,0.02568586391205353,-0.009045182123121526,-0.08287224538837579,0.5222586795982658,302,303,0.8867046194873853,0.2821143335969435
NDUFS7,-0.3096159363292388,-0.3230662552679137,0.013450318938674932,0.0578112583956464,0.5222586795982658,302,303,0.8867046194873853,0.2821143335969435
VPS4B,-0.1941657348781896,-0.21182777024212934,0.017662035363939732,0.050062159778198015,0.5222586795982658,302,303,0.8867046194873853,0.2821143335969435
PRPF19,-2.70594247531049,-2.6954683730127313,-0.01047410229775858,-0.021854573930415736,0.5225611810723261,302,303,0.886687410655652,0.28186285536692884
AVL9,0.0939162593057923,0.09920347409520186,-0.005287214789409564,-0.04151638303255054,0.5225611810723261,302,303,0.886687410655652,0.28186285536692884
CHD5,0.06221464082978905,0.053288602712308335,0.008926038117480717,0.06802225442845568,0.5225611810723261,302,303,0.886687410655652,0.28186285536692884
TMCC1,-0.0033150946724877857,0.0035079890307678093,-0.006823083703255595,-0.05488950234372563,0.5225611810723261,302,303,0.886687410655652,0.28186285536692884
IL20RA,0.02676252415747547,0.035334883005632735,-0.008572358848157265,-0.07014328615094577,0.5225611810723261,302,303,0.886687410655652,0.28186285536692884
TECTA,0.14134413668436524,0.13967337703224056,0.0016707596521246815,0.015684665790980205,0.5225611810723261,302,303,0.886687410655652,0.28186285536692884
DDX42,-1.1770958126580728,-1.1615040104571621,-0.01559180220091072,-0.051553318603350044,0.5225611810723261,302,303,0.886687410655652,0.28186285536692884
ERMARD,0.031956951662975325,0.039257731115986155,-0.0073007794530108305,-0.06362671772398046,0.5225611810723261,302,303,0.886687410655652,0.28186285536692884
POTEF,-0.029358627519665895,-0.030847365328494556,0.0014887378088286607,0.008038912857112808,0.522568093711942,237,250,0.8863320275627612,0.28185711039104294
ZMIZ1,-0.19094804621252848,-0.19589958331411053,0.004951537101582054,0.027059302524515112,0.5228637725367224,302,303,0.8864665146194397,0.2816114479244825
IDNK,0.006175173793270466,0.008308780928537391,-0.0021336071352669253,-0.018879018090302763,0.5228637725367224,302,303,0.8864665146194397,0.2816114479244825
MMP28,-0.09927825312101593,-0.1040940005734495,0.004815747452433572,0.03118384762291058,0.5228637725367224,302,303,0.8864665146194397,0.2816114479244825
HPCA,-0.04696628146416833,-0.051524467360746666,0.004558185896578339,0.04301480578913831,0.5228637725367224,302,303,0.8864665146194397,0.2816114479244825
CAPN9,-0.1821497828648797,-0.185432410672222,0.0032826278073422865,0.023213258986207942,0.5228637725367224,302,303,0.8864665146194397,0.2816114479244825
SMURF2,-0.20852751453056143,-0.19685868356558256,-0.011668830964978866,-0.06857041980105417,0.5228637725367224,302,303,0.8864665146194397,0.2816114479244825
LPCAT2,0.09010033735554189,0.08654622437177097,0.003554112983770924,0.024581066740713947,0.5228637725367224,302,303,0.8864665146194397,0.2816114479244825
RLBP1,0.032808080867350514,0.03017235640423261,0.002635724463117904,0.023540309200448247,0.5228637725367224,302,303,0.8864665146194397,0.2816114479244825
ZNF732,0.20298146443587675,0.21178548998540223,-0.008804025549525474,-0.04141193122952296,0.5231519310075468,167,156,0.8865881456264133,0.2813721673161046
P3H4,-0.23785446090680365,-0.24784466460279753,0.009990203695993877,0.07229695292803145,0.523166453952725,302,303,0.886449777446552,0.281360111263104
LGR5,-0.031159221054663414,-0.021744410548412,-0.009414810506251415,-0.07684015339861291,0.523166453952725,302,303,0.886449777446552,0.281360111263104
CMBL,0.08480523521070202,0.08901945020055958,-0.004214214989857565,-0.03831074991737711,0.523166453952725,302,303,0.886449777446552,0.281360111263104
GLIS3,0.11438194517365234,0.12727218896202985,-0.012890243788377512,-0.10259925304800213,0.5234692252815538,302,303,0.8867997765176847,0.28110884537629044
EZR,0.01665884589408079,0.016084646514586944,0.000574199379493847,0.004119266222576909,0.5237720864843782,302,303,0.8871905558266653,0.28085765025753723
CFAP157,0.03577088223905867,0.027430179106770137,0.008340703132288536,0.07191699511400791,0.5237720864843782,302,303,0.8871905558266653,0.28085765025753723
AKAP10,-0.019073709049460433,-0.003844001986395973,-0.01522970706306446,-0.1022458960602372,0.5240750375223179,302,303,0.8872960753752979,0.2806065259003373
AUTS2,0.003569903217880541,0.012552344255035255,-0.008982441037154714,-0.0655090319339948,0.5240750375223179,302,303,0.8872960753752979,0.2806065259003373
MCM6,-0.8702631548277874,-0.8774467796316398,0.007183624803852373,0.021123276624167815,0.5240750375223179,302,303,0.8872960753752979,0.2806065259003373
NFYC,-0.9156622293080259,-0.9002378002839565,-0.015424429024069375,-0.05925747865173259,0.5240750375223179,302,303,0.8872960753752979,0.2806065259003373
C14orf93,-0.04116971524994072,-0.04597443828534367,0.004804723035402948,0.0436219568419548,0.5240750375223179,302,303,0.8872960753752979,0.2806065259003373
MSLN,0.07709770806106815,0.06722238773074836,0.009875320330319792,0.10325114942668807,0.5240750375223179,302,303,0.8872960753752979,0.2806065259003373
TRPM3,0.11725728206585971,0.11531595984706083,0.0019413222187988771,0.018038504991009893,0.5240750375223179,302,303,0.8872960753752979,0.2806065259003373
ANGPTL4,-0.03270663713833609,-0.025988865174293975,-0.006717771964042114,-0.056643373464102614,0.5240750375223179,302,303,0.8872960753752979,0.2806065259003373
RGPD4,-0.34996492695673126,-0.3620346675949571,0.012069740638225857,0.07741892946100976,0.5242454271324812,237,250,0.8872178875596523,0.2804653490930266
GORASP2,0.008709968328601712,0.015599895725180236,-0.006889927396578524,-0.03541284681709616,0.5243780783564411,302,303,0.8872387567804132,0.28035547229818225
STRBP,-0.04007344938722782,-0.04397206535286232,0.003898615965634497,0.031108557245826784,0.5243780783564411,302,303,0.8872387567804132,0.28035547229818225
COL2A1,0.014222488313768475,0.024369974445323954,-0.010147486131555479,-0.0905416055659538,0.5243780783564411,302,303,0.8872387567804132,0.28035547229818225
TRPA1,-0.032246654475310096,-0.036160209793942646,0.00391355531863255,0.028840769189445326,0.5243780783564411,302,303,0.8872387567804132,0.28035547229818225
RSRP1,0.047412095537833515,0.035769710928455,0.011642384609378519,0.06547324877886543,0.5246812089477663,302,303,0.8875479984356828,0.28010448944456134
S100B,0.15327521103515132,0.15835996503166305,-0.005084753996511732,-0.04420275659920499,0.5249844292572614,302,303,0.8879387085056758,0.27985357733296184
SELENOV,-0.005780242624293856,-0.0049585026995552835,-0.0008217399247385723,-0.006913500305734565,0.5249844292572614,302,303,0.8879387085056758,0.27985357733296184
AP3M1,-0.15689759739859807,-0.1521180872583441,-0.004779510140253962,-0.03360995583853692,0.5252877392458437,302,303,0.8882887192585541,0.27960273595686946
CST11,0.07123464166941616,0.07631534395790544,-0.0050807022884892805,-0.04480915300612002,0.5252877392458437,302,303,0.8882887192585541,0.27960273595686946
MIF,-0.06676183623245417,-0.06924276430604763,0.002480928073593458,0.01899814462615968,0.5255911388743806,302,303,0.8885572603190615,0.2793519653097673
DNAJC4,-0.06061470280443376,-0.056157462350521804,-0.004457240453911958,-0.03947736882474894,0.5255911388743806,302,303,0.8885572603190615,0.2793519653097673
