drug,instrument_gene,n,F_stat_stage1,beta_ols,beta_iv,delta_iv_ols,rho_crispr_netith
AZD2014,PXN,464,20.53052262695964,0.13846501496730929,0.49408415193917643,0.35561913697186714,-0.21493668270720764
ERK_6604,PXN,464,20.53052262695964,0.1342761631093472,0.2916459242426522,0.15736976113330498,-0.21493668270720764
AZD5153,PXN,464,20.53052262695964,0.19682757780107327,0.9936616123074415,0.7968340345063682,-0.21493668270720764
N-acetyl cysteine,MSMO1,477,20.512012069320736,0.054471960182223764,0.2895683289635702,0.23509636878134643,0.17893602534563993
Obatoclax Mesylate,TLN1,496,20.50571542802575,0.09928623989788024,0.7747738865037931,0.6754876466059129,-0.2145365841185923
ICL-SIRT078,MSMO1,477,20.49294317906432,0.12974799372762702,0.7452826897005145,0.6155346959728875,0.18595596444940965
HKMTI-1-005,MSMO1,477,20.49294317906432,0.14688138762992026,0.7978962111603682,0.651014823530448,0.18595596444940965
Avagacestat,DLG5,564,20.488488100417083,0.2186140732734649,0.9912040630543867,0.7725899897809217,-0.21354018085725096
Dasatinib,ILK,567,20.484170675865535,3.317231664344318e-07,-0.6690566161099887,-0.6690569478331551,-0.20630911499621998
JNK Inhibitor VIII,AFF1,563,20.474643892117452,0.197582461689642,0.5577333162414396,0.36015085455179763,0.19215831100924602
GSK1904529A,DLG5,570,20.460419791710972,0.18172481933496568,1.25490000232765,1.0731751829926843,-0.21275272428792044
EPZ004777,DLG5,570,20.460419791710972,0.2608164638823929,1.3249241900377946,1.0641077261554017,-0.21275272428792044
Irinotecan,DLG5,570,20.460419791710972,0.21827951516117608,1.3743329782527507,1.1560534630915746,-0.21275272428792044
LGK974,DLG5,570,20.460419791710972,0.216576537076208,1.1437721812024313,0.9271956441262232,-0.21275272428792044
GSK343,DLG5,570,20.460419791710972,0.20393028131039767,1.1174895791562498,0.9135592978458521,-0.21275272428792044
Fulvestrant,DLG5,570,20.460419791710972,0.2051883649728587,1.168042672373785,0.9628543074009261,-0.21275272428792044
Alpelisib,DLG5,570,20.460419791710972,0.1754072902812252,0.5855860885023111,0.4101787982210859,-0.21275272428792044
Luminespib,DLG5,570,20.460419791710972,0.09728320854179227,0.30011590139728667,0.20283269285549438,-0.21275272428792044
GSK2830371,CFL1,472,20.45368148821386,0.20940062284627928,0.7715647208690376,0.5621640980227584,0.24666504922286242
Bleomycin (50 uM),CFL1,472,20.45368148821386,0.124402167633185,0.582291284726538,0.457889117093353,0.24666504922286242
Dactinomycin,DLG5,569,20.44846476079578,0.2217488468635391,0.7484710390928535,0.5267221922293144,-0.21287974819595593
615590,CFL1,465,20.442712122532864,0.1921489420951807,0.5962171372801496,0.40406819518496884,0.24606322236915604
GSK-LSD1,CFL1,465,20.442712122532864,0.19741360367612878,0.6540327240764994,0.45661912040037056,0.24606322236915604
Bleomycin,CFL1,465,20.442712122532864,0.12805407735598856,0.7033462130063353,0.5752921356503466,0.24606322236915604
BDOCA000347a,CFL1,465,20.442712122532864,0.10998581355167882,0.7437750283008616,0.6337892147491828,0.24606322236915604
L-Oxonoreleagnine,CFL1,465,20.442712122532864,0.17262456582661825,0.7664158317647635,0.5937912659381452,0.24606322236915604
729189,CFL1,465,20.442712122532864,0.12880997653631218,0.7393755987319584,0.6105656221956461,0.24606322236915604
Elephantin,CFL1,465,20.442712122532864,0.10658309126496669,0.6326153254613457,0.526032234196379,0.24606322236915604
Acetalax,CFL1,465,20.442712122532864,-0.019195828071662185,0.24844877873517401,0.2676446068068362,0.24606322236915604
123829,CFL1,465,20.442712122532864,0.057432144656534324,0.4332581598578687,0.37582601520133435,0.24606322236915604
GSK2830371A,CFL1,465,20.442712122532864,0.1981560010898867,0.6632696400412956,0.4651136389514089,0.24606322236915604
Gallibiscoquinazole,CFL1,465,20.442712122532864,0.18658523264353638,0.9146148748463526,0.7280296422028163,0.24606322236915604
630600,CFL1,465,20.442712122532864,0.1689898748483017,1.1361970019128846,0.967207127064583,0.24606322236915604
741909,CFL1,465,20.442712122532864,0.08547111198173865,0.20205756999766708,0.11658645801592843,0.24606322236915604
GSK2801,CFL1,465,20.442712122532864,0.19609563384136589,1.1658149430486942,0.9697193092073283,0.24606322236915604
667880,CFL1,465,20.442712122532864,0.12121323161355156,0.505682919599005,0.38446968798545345,0.24606322236915604
GSK626616AC,CFL1,465,20.442712122532864,0.21740703432050262,1.0124019538500597,0.7949949195295571,0.24606322236915604
Mitoxantrone,CFL1,465,20.442712122532864,0.21656415573216828,0.8411465510925562,0.624582395360388,0.24606322236915604
743380,CFL1,465,20.442712122532864,0.1324211337129954,0.31241304924996444,0.17999191553696903,0.24606322236915604
BEN,CFL1,465,20.442712122532864,0.2359386891748302,0.778582612936663,0.5426439237618328,0.24606322236915604
150412,CFL1,465,20.442712122532864,0.13341242211939772,0.5493039807416416,0.4158915586222438,0.24606322236915604
GSK2110183B,CFL1,465,20.442712122532864,0.03812700870683967,0.6231221550876908,0.584995146380851,0.24606322236915604
BDF00022089a,CFL1,465,20.442712122532864,0.13632053618168893,0.7384911207521158,0.6021705845704268,0.24606322236915604
Fludarabine,CFL1,465,20.442712122532864,0.11540034900091624,0.817106088484071,0.7017057394831547,0.24606322236915604
GSK2256098C,CFL1,465,20.442712122532864,0.17058972875924835,0.7887720743494857,0.6181823455902373,0.24606322236915604
LMB_AB3,CFL1,465,20.442712122532864,0.1699733092959104,0.7167520266502699,0.5467787173543596,0.24606322236915604
720427,CFL1,465,20.442712122532864,0.18746212136710155,0.8815487005841163,0.6940865792170148,0.24606322236915604
123138,CFL1,465,20.442712122532864,0.1345859247174845,0.7315571278910467,0.5969712031735621,0.24606322236915604
