gene,n_low,n_high,mean_netith_low,mean_netith_high,delta_netith,cohens_d,mwu_p,is_tf,fdr
DNAH9,254,254,5.737417407807838,5.655824413243858,-0.08159299456398017,-0.3682151110369334,2.8863868644798677e-05,False,8.270654748612061e-05
SIGLEC9,254,254,5.750080465442275,5.665105240546797,-0.08497522489547737,-0.36820431233616563,4.1633248576262004e-05,False,0.00011530083863472594
PCSK6,254,254,5.755895482371702,5.673110229788757,-0.08278525258294511,-0.3681905763797792,2.6788829999056018e-05,False,7.730157101388401e-05
TMEM259,254,254,5.7339864203261985,5.655074167936681,-0.07891225238951716,-0.36815307190775154,6.59793041727343e-06,False,2.16627221048903e-05
CST7,254,254,5.727642052918024,5.650278254926889,-0.07736379799113546,-0.36815268940906587,4.340745328674001e-05,False,0.00011971326021888969
SLC46A1,254,254,5.65062511783853,5.730976861784094,0.0803517439455641,0.36812833278776336,0.00012573766778730818,False,0.00031326964420763155
KRT6B,254,254,5.744512328387326,5.662935905142872,-0.0815764232444538,-0.36812710180932695,3.1189173783293925e-06,False,1.1018381151087263e-05
AP1B1,254,254,5.740601445334408,5.657749195283271,-0.08285225005113706,-0.3680488699005628,1.0073595746722916e-05,False,3.174714555503497e-05
KCNV2,254,254,5.7338487475835525,5.65227504331559,-0.08157370426796273,-0.3679777138213576,2.636415018124793e-06,False,9.471381521880653e-06
OLFML2A,254,254,5.65669302033049,5.73742587318864,0.08073285285814968,0.3679575325091794,2.1497147258931616e-05,False,6.326303336199874e-05
LYSMD2,254,254,5.722168039585829,5.6395951614646735,-0.08257287812115521,-0.3679570387611111,9.337142521275388e-05,False,0.00023939214265681616
NRG3,254,254,5.752315976653598,5.673445705215251,-0.07887027143834757,-0.3679302371536848,9.445567092166139e-06,False,2.9982136843024497e-05
CXCL13,254,254,5.733690641696757,5.6521309490415454,-0.08155969265521179,-0.36792880393799837,3.366143466090377e-06,False,1.1790069998008668e-05
PGBD4,254,254,5.730034107772044,5.651693518934608,-0.07834058883743555,-0.36781113750194744,4.703538351612277e-06,False,1.5926291965764326e-05
PSMD8,254,254,5.659099227081645,5.738509907894471,0.07941068081282587,0.367787433678916,1.5769334117623713e-05,False,4.7512404301496845e-05
PRKACG,254,254,5.750538553668588,5.666596224616323,-0.08394232905226495,-0.36778495364746033,1.2936145480004086e-05,False,3.969931104398756e-05
DSG4,254,254,5.7323836993651,5.650816466558195,-0.08156723280690503,-0.36776202753888015,2.1789019676666757e-05,False,6.404527126765976e-05
SSH3,254,254,5.639033288097885,5.717462075722769,0.07842878762488414,0.3677468133775869,5.637376057038193e-05,False,0.00015160804496109124
FCGR3B,254,254,5.742721412085931,5.66438709958309,-0.07833431250284129,-0.36773305264163747,0.0001503248572309089,False,0.000368443697524774
EIF4E1B,254,254,5.748711524488694,5.665459806867691,-0.08325171762100325,-0.36772400097841756,2.1671820906457055e-05,False,6.37116717504645e-05
IL2RB,254,254,5.744404235437934,5.665311751605578,-0.07909248383235656,-0.36769469756895684,7.732638170175546e-05,False,0.0002016817424794383
YWHAQ,254,254,5.667854724565256,5.743956353113508,0.07610162854825209,0.3676399212710663,1.3152320899014787e-05,False,4.029084092323301e-05
SLC5A9,254,254,5.75533966559986,5.674441245655418,-0.08089841994444225,-0.3676211810851584,1.4969017396920073e-05,False,4.5307420067644235e-05
OTUD4,254,254,5.736747648933108,5.659328540591034,-0.07741910834207477,-0.3676167557588019,1.2971937747395957e-05,False,3.980205158632855e-05
DCAF16,254,254,5.748243080971169,5.668798503922011,-0.0794445770491583,-0.36756582511514335,1.5010155519320277e-05,False,4.541595164253792e-05
MIER2,254,254,5.7356266289047335,5.656033370065287,-0.07959325883944679,-0.3675628324993568,1.492798679132096e-05,False,4.5199137616178814e-05
COL6A5,254,254,5.753189540656041,5.6698846059922685,-0.0833049346637722,-0.3675610378216977,1.0880324906148713e-06,False,4.270937213844455e-06
TCERG1L,254,254,5.760233365486703,5.679551776229594,-0.08068158925710822,-0.3675495750470099,1.4325250272223772e-05,False,4.35581810027437e-05
ANKRD36,254,254,5.738249184507928,5.661000478916258,-0.07724870559166952,-0.367523008056505,2.092453017457772e-05,False,6.165173750135515e-05
CEP192,254,254,5.740414679833127,5.658053511629599,-0.08236116820352812,-0.36747154677163507,3.374722917316567e-05,False,9.531791280913344e-05
SEMA3E,254,254,5.684950505818354,5.764058902389139,0.07910839657078483,0.3674295646557443,0.00014742450180784132,False,0.0003620055468374987
